회사명,거래소코드,회계년도,자산(*)(IFRS연결),자본(*)(IFRS연결)
(주)강스템바이오텍,217730,2015/12,,
(주)강스템바이오텍,217730,2016/12,,
(주)강스템바이오텍,217730,2017/12,47198979,24482163
(주)강스템바이오텍,217730,2018/12,73194018,47581374
(주)강스템바이오텍,217730,2019/12,113643697,68719236
(주)강스템바이오텍,217730,2020/12,82505287,48638871
(주)강원랜드,035250,2011/12,2711401782,2257362696
(주)강원랜드,035250,2012/12,2906655321,2372026990
(주)강원랜드,035250,2013/12,3102036846,2517696496
(주)강원랜드,035250,2014/12,3375127289,2705357485
(주)강원랜드,035250,2015/12,3690791830,2997755205
(주)강원랜드,035250,2016/12,3978987574,3252727459
(주)강원랜드,035250,2017/12,4185657487,3501235933
(주)강원랜드,035250,2018/12,4231241354,3586777089
(주)강원랜드,035250,2019/12,4438119306,3717759076
(주)강원랜드,035250,2020/12,3641632201,3247028580
(주)강원에너지,114190,2011/11,,
(주)강원에너지,114190,2012/12,,
(주)강원에너지,114190,2013/12,,
(주)강원에너지,114190,2014/12,,
(주)강원에너지,114190,2015/12,85457457,56583901
(주)강원에너지,114190,2016/12,77186606,55088690
(주)강원에너지,114190,2017/12,93179394,48303010
(주)강원에너지,114190,2018/12,93845576,50203707
(주)강원에너지,114190,2019/12,56602063,21124556
(주)강원에너지,114190,2020/12,32968636,17096338
(주)갤럭시아에스엠,011420,2011/12,45110356,25274017
(주)갤럭시아에스엠,011420,2012/12,43979072,25907252
(주)갤럭시아에스엠,011420,2013/12,37636664,21493102
(주)갤럭시아에스엠,011420,2014/12,45274078,23205508
(주)갤럭시아에스엠,011420,2015/12,68686992,49739042
(주)갤럭시아에스엠,011420,2016/12,58444606,44846832
(주)갤럭시아에스엠,011420,2017/12,49831109,40494336
(주)갤럭시아에스엠,011420,2018/12,33253331,26472162
(주)갤럭시아에스엠,011420,2019/12,28241598,21798750
(주)갤럭시아에스엠,011420,2020/12,,
(주)경농,002100,2011/12,173774102,142986220
(주)경농,002100,2012/12,269412832,151738994
(주)경농,002100,2013/12,255984725,163157512
(주)경농,002100,2014/12,284623063,168915900
(주)경농,002100,2015/12,316341853,174667648
(주)경농,002100,2016/12,320915151,183969132
(주)경농,002100,2017/12,335873898,192152986
(주)경농,002100,2018/12,357260541,201453891
(주)경농,002100,2019/12,370874091,201885272
(주)경농,002100,2020/12,371525656,211372233
(주)경동나비엔,009450,2011/12,263211016,168114574
(주)경동나비엔,009450,2012/12,299729837,175875394
(주)경동나비엔,009450,2013/12,354779867,187280988
(주)경동나비엔,009450,2014/12,401658957,190021880
(주)경동나비엔,009450,2015/12,402084368,206076609
(주)경동나비엔,009450,2016/12,429754702,238762190
(주)경동나비엔,009450,2017/12,503697210,256506497
(주)경동나비엔,009450,2018/12,583595818,280103616
(주)경동나비엔,009450,2019/12,609808343,301042624
(주)경동나비엔,009450,2020/12,734688738,348163846
(주)경동도시가스,267290,2017/12,710280194,294331882
(주)경동도시가스,267290,2018/12,778269612,320490074
(주)경동도시가스,267290,2019/12,749999474,339612043
(주)경동도시가스,267290,2020/12,699658165,356677691
(주)경동인베스트,012320,2011/12,1001490869,407862543
(주)경동인베스트,012320,2012/12,1209924561,446509347
(주)경동인베스트,012320,2013/12,1205008353,498740561
(주)경동인베스트,012320,2014/12,1320789066,607451423
(주)경동인베스트,012320,2015/12,1167819522,576479441
(주)경동인베스트,012320,2016/12,1126122628,587924566
(주)경동인베스트,012320,2017/12,599276331,400403090
(주)경동인베스트,012320,2018/12,592002536,397867310
(주)경동인베스트,012320,2019/12,605467383,414533638
(주)경동인베스트,012320,2020/12,589277835,430745334
(주)경방,000050,2011/12,1352324332,629704391
(주)경방,000050,2012/12,1335039930,620704205
(주)경방,000050,2013/12,1296989142,636438555
(주)경방,000050,2014/12,1301841379,647668814
(주)경방,000050,2015/12,1318643312,662952918
(주)경방,000050,2016/12,1301910960,679843399
(주)경방,000050,2017/12,1274042237,699134073
(주)경방,000050,2018/12,1301792841,708769347
(주)경방,000050,2019/12,1370742491,741553199
(주)경방,000050,2020/12,1264902051,741929808
(주)경보제약,214390,2011/12,,
(주)경보제약,214390,2012/12,,
(주)경보제약,214390,2013/12,,
(주)경보제약,214390,2014/12,,
(주)경보제약,214390,2015/12,,
(주)경보제약,214390,2016/12,,
(주)경보제약,214390,2017/12,,
(주)경보제약,214390,2018/12,,
(주)경보제약,214390,2019/12,,
(주)경보제약,214390,2020/12,,
(주)경인양행,012610,2011/12,319596954,176292506
(주)경인양행,012610,2012/12,287452678,174988685
(주)경인양행,012610,2013/12,316944796,189744314
(주)경인양행,012610,2014/12,313039125,198238667
(주)경인양행,012610,2015/12,326687437,201125304
(주)경인양행,012610,2016/12,344298515,208293196
(주)경인양행,012610,2017/12,357951470,210934933
(주)경인양행,012610,2018/12,412996589,223759383
(주)경인양행,012610,2019/12,472081003,237433141
(주)경인양행,012610,2020/12,505102151,228381756
(주)고려시멘트,198440,2014/12,,
(주)고려시멘트,198440,2015/12,,
(주)고려시멘트,198440,2016/12,,
(주)고려시멘트,198440,2017/12,,
(주)고려시멘트,198440,2018/12,,
(주)고려시멘트,198440,2019/12,,
(주)고려시멘트,198440,2020/12,,
(주)고바이오랩,348150,2019/12,35321574,-53623865
(주)고바이오랩,348150,2020/12,58537097,55390674
(주)고영테크놀러지,098460,2011/12,87006201,69622726
(주)고영테크놀러지,098460,2012/12,103351965,83401095
(주)고영테크놀러지,098460,2013/12,120951617,98319609
(주)고영테크놀러지,098460,2014/12,141720465,115835240
(주)고영테크놀러지,098460,2015/12,158857627,131475647
(주)고영테크놀러지,098460,2016/12,195121241,157267580
(주)고영테크놀러지,098460,2017/12,205207385,161317171
(주)고영테크놀러지,098460,2018/12,279059436,225866639
(주)고영테크놀러지,098460,2019/12,305481184,243668528
(주)고영테크놀러지,098460,2020/12,302574461,246058103
(주)골드앤에스,035290,2011/12,46677146,22436829
(주)골드앤에스,035290,2012/12,51950606,25517817
(주)골드앤에스,035290,2013/12,51442505,13127355
(주)골드앤에스,035290,2014/12,46528474,12082621
(주)골드앤에스,035290,2015/12,24102094,15160254
(주)골드앤에스,035290,2016/12,18671644,14268527
(주)골드앤에스,035290,2017/12,17173934,13346076
(주)골드앤에스,035290,2018/12,42472631,13779569
(주)골드앤에스,035290,2019/12,16096170,-5091573
(주)골드앤에스,035290,2020/12,20634172,14398168
(주)골드퍼시픽,038530,2011/12,,
(주)골드퍼시픽,038530,2012/12,,
(주)골드퍼시픽,038530,2013/12,33687572,16190999
(주)골드퍼시픽,038530,2014/12,41948832,16567915
(주)골드퍼시픽,038530,2015/12,28573328,21193149
(주)골드퍼시픽,038530,2016/12,,
(주)골드퍼시픽,038530,2017/12,,
(주)골드퍼시픽,038530,2018/12,37825442,20086698
(주)골드퍼시픽,038530,2019/12,,
(주)골드퍼시픽,038530,2020/12,,
(주)골프존,215000,2015/12,178132253,108853909
(주)골프존,215000,2016/12,187914226,120648626
(주)골프존,215000,2017/12,253672419,189381881
(주)골프존,215000,2018/12,254057808,194919561
(주)골프존,215000,2019/12,312587283,200042879
(주)골프존,215000,2020/12,367293667,225570692
(주)골프존뉴딘홀딩스,121440,2011/12,378054302,348968757
(주)골프존뉴딘홀딩스,121440,2012/12,540922890,411636973
(주)골프존뉴딘홀딩스,121440,2013/12,637840057,424543916
(주)골프존뉴딘홀딩스,121440,2014/12,762037240,486385956
(주)골프존뉴딘홀딩스,121440,2015/12,767325175,551360423
(주)골프존뉴딘홀딩스,121440,2016/12,760772930,528087415
(주)골프존뉴딘홀딩스,121440,2017/12,756500949,500912642
(주)골프존뉴딘홀딩스,121440,2018/12,774743339,485969871
(주)골프존뉴딘홀딩스,121440,2019/12,776384700,447197508
(주)골프존뉴딘홀딩스,121440,2020/12,795768970,469481392
(주)공구우먼,366030,2017/12,,
(주)공구우먼,366030,2018/12,,
(주)공구우먼,366030,2019/12,,
(주)공구우먼,366030,2020/12,,
(주)광림,014200,2011/12,,
(주)광림,014200,2012/12,,
(주)광림,014200,2013/12,,
(주)광림,014200,2014/12,244886480,128970849
(주)광림,014200,2015/12,,
(주)광림,014200,2016/12,229596737,113505965
(주)광림,014200,2017/12,208058303,107690687
(주)광림,014200,2018/12,187812629,90075229
(주)광림,014200,2019/12,252468254,90772137
(주)광림,014200,2020/12,212123388,81613304
(주)광명전기,017040,2011/12,123886511,62936103
(주)광명전기,017040,2012/12,131064345,62992204
(주)광명전기,017040,2013/12,120910764,69847678
(주)광명전기,017040,2014/12,138580023,78696030
(주)광명전기,017040,2015/12,131457603,87829336
(주)광명전기,017040,2016/12,146859319,98063360
(주)광명전기,017040,2017/12,152717140,96648221
(주)광명전기,017040,2018/12,151823119,98748349
(주)광명전기,017040,2019/12,156712705,105398860
(주)광명전기,017040,2020/12,165884690,109787206
(주)광무,029480,2011/12,75946478,37831616
(주)광무,029480,2012/12,55788602,29507217
(주)광무,029480,2013/12,35384615,8786699
(주)광무,029480,2014/12,,
(주)광무,029480,2015/12,,
(주)광무,029480,2016/12,,
(주)광무,029480,2017/12,,
(주)광무,029480,2018/12,28431748,10729216
(주)광무,029480,2019/12,63139837,22844122
(주)광무,029480,2020/12,38625151,24221981
(주)광주신세계,037710,2011/12,,
(주)광주신세계,037710,2012/12,,
(주)광주신세계,037710,2013/12,,
(주)광주신세계,037710,2014/12,,
(주)광주신세계,037710,2015/12,,
(주)광주신세계,037710,2016/12,,
(주)광주신세계,037710,2017/12,,
(주)광주신세계,037710,2018/12,,
(주)광주신세계,037710,2019/12,,
(주)광주신세계,037710,2020/12,,
(주)구영테크,053270,2011/12,149471330,36633264
(주)구영테크,053270,2012/12,161163024,36686891
(주)구영테크,053270,2013/12,149230187,39023837
(주)구영테크,053270,2014/12,155857242,52212920
(주)구영테크,053270,2015/12,161330950,56401223
(주)구영테크,053270,2016/12,166748490,57780291
(주)구영테크,053270,2017/12,187009683,55811041
(주)구영테크,053270,2018/12,202572970,68827896
(주)구영테크,053270,2019/12,206569873,71704257
(주)구영테크,053270,2020/12,211767320,69507562
(주)국동,005320,2011/12,68162305,5829570
(주)국동,005320,2012/12,65808287,9422729
(주)국동,005320,2013/12,73040609,15412210
(주)국동,005320,2014/12,89271398,28639367
(주)국동,005320,2015/12,93758552,31226110
(주)국동,005320,2016/12,124126720,51725723
(주)국동,005320,2017/12,106307080,42630725
(주)국동,005320,2018/12,123134702,48475045
(주)국동,005320,2019/12,133723726,65481226
(주)국동,005320,2020/12,180700682,83835084
(주)국보,001140,2011/12,98869465,34466553
(주)국보,001140,2012/12,98494841,33793391
(주)국보,001140,2013/12,98315386,29768264
(주)국보,001140,2014/12,91005502,22620239
(주)국보,001140,2015/12,83085438,18409444
(주)국보,001140,2016/12,81308887,15275562
(주)국보,001140,2017/12,73270170,17848563
(주)국보,001140,2018/12,48188113,13412206
(주)국보,001140,2019/12,115356448,28604010
(주)국보,001140,2020/12,90823631,30827300
(주)국보디자인,066620,2011/12,80200900,48143562
(주)국보디자인,066620,2012/12,92877548,57564527
(주)국보디자인,066620,2013/12,127902185,65598063
(주)국보디자인,066620,2014/12,132011877,74350888
(주)국보디자인,066620,2015/12,141089858,83307386
(주)국보디자인,066620,2016/12,158452485,86928845
(주)국보디자인,066620,2017/12,164381715,99283826
(주)국보디자인,066620,2018/12,175036784,108600438
(주)국보디자인,066620,2019/12,222514980,123363884
(주)국보디자인,066620,2020/12,269228220,166024203
(주)국순당,043650,2011/12,199135153,178114387
(주)국순당,043650,2012/12,209729554,191625826
(주)국순당,043650,2013/12,218115221,194567775
(주)국순당,043650,2014/12,217479839,196810690
(주)국순당,043650,2015/12,216587928,198167277
(주)국순당,043650,2016/12,213004831,194018641
(주)국순당,043650,2017/12,242199755,221539252
(주)국순당,043650,2018/12,238619493,215679919
(주)국순당,043650,2019/12,252484287,204958649
(주)국순당,043650,2020/12,244882856,222502376
(주)국영지앤엠,006050,2011/12,,
(주)국영지앤엠,006050,2012/12,,
(주)국영지앤엠,006050,2013/12,,
(주)국영지앤엠,006050,2014/12,,
(주)국영지앤엠,006050,2015/12,,
(주)국영지앤엠,006050,2016/12,,
(주)국영지앤엠,006050,2017/12,,
(주)국영지앤엠,006050,2018/12,,
(주)국영지앤엠,006050,2019/12,,
(주)국영지앤엠,006050,2020/12,,
(주)국전약품,307750,2018/12,,
(주)국전약품,307750,2019/12,,
(주)국전약품,307750,2020/12,,
(주)그래디언트,035080,2011/12,777653618,328872047
(주)그래디언트,035080,2012/12,739985481,396658401
(주)그래디언트,035080,2013/12,1598503940,751939530
(주)그래디언트,035080,2014/12,1920350951,900343355
(주)그래디언트,035080,2015/12,2106702049,903808796
(주)그래디언트,035080,2016/12,2073537018,840330799
(주)그래디언트,035080,2017/12,1804533355,742316982
(주)그래디언트,035080,2018/12,1809664488,714481098
(주)그래디언트,035080,2019/12,1780051911,669586510
(주)그래디언트,035080,2020/12,1602860078,609773674
(주)그리티,204020,2011/12,,
(주)그리티,204020,2012/12,,
(주)그리티,204020,2013/12,,
(주)그리티,204020,2014/12,51545496,40936869
(주)그리티,204020,2015/12,55745710,45516181
(주)그리티,204020,2016/12,64735243,49389241
(주)그리티,204020,2017/12,73262908,56069599
(주)그리티,204020,2018/12,95755030,74460588
(주)그리티,204020,2019/12,92151596,74181103
(주)그리티,204020,2020/12,87285205,71954329
(주)그린플러스,186230,2011/12,,
(주)그린플러스,186230,2012/12,,
(주)그린플러스,186230,2013/12,,
(주)그린플러스,186230,2014/12,,
(주)그린플러스,186230,2015/12,,
(주)그린플러스,186230,2016/12,,
(주)그린플러스,186230,2017/12,,
(주)그린플러스,186230,2018/12,63717254,23995551
(주)그린플러스,186230,2019/12,72321985,37391337
(주)그린플러스,186230,2020/12,89110558,34033434
(주)극동자동화,272420,2014/12,,
(주)극동자동화,272420,2015/12,,
(주)극동자동화,272420,2016/12,,
(주)극동자동화,272420,2017/12,,
(주)글로벌스탠다드테크놀로지,083450,2011/12,52575255,27594673
(주)글로벌스탠다드테크놀로지,083450,2012/12,53824618,36008304
(주)글로벌스탠다드테크놀로지,083450,2013/12,62626777,42629997
(주)글로벌스탠다드테크놀로지,083450,2014/12,69972237,50846053
(주)글로벌스탠다드테크놀로지,083450,2015/12,69691968,56675666
(주)글로벌스탠다드테크놀로지,083450,2016/12,89405841,60779819
(주)글로벌스탠다드테크놀로지,083450,2017/12,102400669,78275559
(주)글로벌스탠다드테크놀로지,083450,2018/12,105027408,85807825
(주)글로벌스탠다드테크놀로지,083450,2019/12,136751562,103310701
(주)글로벌스탠다드테크놀로지,083450,2020/12,141835536,113736945
(주)금양,001570,2011/12,130817841,45175687
(주)금양,001570,2012/12,127557393,45542580
(주)금양,001570,2013/12,147115126,45554255
(주)금양,001570,2014/12,160244911,44489985
(주)금양,001570,2015/12,165405931,57953744
(주)금양,001570,2016/12,178901902,34480745
(주)금양,001570,2017/12,196084032,57595446
(주)금양,001570,2018/12,204777156,79456336
(주)금양,001570,2019/12,224222540,68287064
(주)금양,001570,2020/12,219851714,79793803
(주)금오하이텍,165270,2011/12,,
(주)금오하이텍,165270,2012/12,,
(주)금오하이텍,165270,2013/12,,
(주)금오하이텍,165270,2014/12,,
(주)금오하이텍,165270,2015/12,,
(주)금오하이텍,165270,2016/12,,
(주)금호에이치티,214330,2011/12,,
(주)금호에이치티,214330,2012/12,,
(주)금호에이치티,214330,2013/12,90563582,47630734
(주)금호에이치티,214330,2014/12,110805833,63008983
(주)금호에이치티,214330,2015/12,123875646,81388280
(주)금호에이치티,214330,2016/12,156606980,86282030
(주)금호에이치티,214330,2017/12,150164495,90754420
(주)금호에이치티,214330,2018/12,238380056,124851870
(주)금호에이치티,214330,2019/12,322078193,172630689
(주)금호에이치티,214330,2020/12,344298589,223139865
(주)금화피에스시,036190,2011/12,,
(주)금화피에스시,036190,2012/12,,
(주)금화피에스시,036190,2013/12,142932108,117616926
(주)금화피에스시,036190,2014/12,158057524,133525938
(주)금화피에스시,036190,2015/12,189001800,149051009
(주)금화피에스시,036190,2016/12,215036137,168709929
(주)금화피에스시,036190,2017/12,231639148,184227358
(주)금화피에스시,036190,2018/12,262516457,220727038
(주)금화피에스시,036190,2019/12,281692946,239409631
(주)금화피에스시,036190,2020/12,294093831,257558782
(주)기가레인,049080,2013/12,122523850,62386212
(주)기가레인,049080,2014/12,131923500,75572002
(주)기가레인,049080,2015/12,151757532,65744609
(주)기가레인,049080,2016/12,155732003,57597489
(주)기가레인,049080,2017/12,181628353,88669121
(주)기가레인,049080,2018/12,179113947,68560115
(주)기가레인,049080,2019/12,117798198,28064616
(주)기가레인,049080,2020/12,104198044,50346938
(주)기산텔레콤,035460,2011/12,86259438,33888631
(주)기산텔레콤,035460,2012/12,73234520,31516647
(주)기산텔레콤,035460,2013/12,78811114,36517480
(주)기산텔레콤,035460,2014/12,78052777,38506780
(주)기산텔레콤,035460,2015/12,76012528,42259485
(주)기산텔레콤,035460,2016/12,74209973,39870843
(주)기산텔레콤,035460,2017/12,70137339,34992274
(주)기산텔레콤,035460,2018/12,56180491,31640999
(주)기산텔레콤,035460,2019/12,66789756,34690964
(주)기산텔레콤,035460,2020/12,70832523,35084369
(주)까뮤이앤씨,013700,2011/12,,
(주)까뮤이앤씨,013700,2012/12,,
(주)까뮤이앤씨,013700,2013/12,,
(주)까뮤이앤씨,013700,2014/12,,
(주)까뮤이앤씨,013700,2015/12,,
(주)까뮤이앤씨,013700,2016/12,,
(주)까뮤이앤씨,013700,2017/12,,
(주)까뮤이앤씨,013700,2018/12,,
(주)까뮤이앤씨,013700,2019/12,,
(주)까뮤이앤씨,013700,2020/12,,
(주)까스텔바작,308100,2016/12,63783889,45602231
(주)까스텔바작,308100,2017/12,64903846,51911343
(주)까스텔바작,308100,2018/12,79266755,62786697
(주)까스텔바작,308100,2019/12,89005071,76678226
(주)까스텔바작,308100,2020/12,103688306,81476497
(주)나노,187790,2014/12,,
(주)나노,187790,2015/12,99495652,42659926
(주)나노,187790,2016/12,83440884,34319308
(주)나노,187790,2017/12,91574665,44902238
(주)나노,187790,2018/12,108261295,59465317
(주)나노,187790,2019/12,116141232,62021912
(주)나노,187790,2020/12,109623884,51620586
(주)나노브릭,286750,2015/12,,
(주)나노브릭,286750,2016/12,,
(주)나노브릭,286750,2017/12,18335455,734346
(주)나노브릭,286750,2018/12,18088485,1524203
(주)나노브릭,286750,2019/12,24551526,14149812
(주)나노브릭,286750,2020/12,,
(주)나노신소재,121600,2011/12,73056413,58193875
(주)나노신소재,121600,2012/12,68351781,56592559
(주)나노신소재,121600,2013/12,67523690,57860945
(주)나노신소재,121600,2014/12,71678554,61578369
(주)나노신소재,121600,2015/12,83449448,73885201
(주)나노신소재,121600,2016/12,84239207,77589079
(주)나노신소재,121600,2017/12,88963512,82913399
(주)나노신소재,121600,2018/12,98480424,88855048
(주)나노신소재,121600,2019/12,101893569,93787590
(주)나노신소재,121600,2020/12,106629092,92144682
(주)나노엔텍,039860,2011/12,49649382,28748071
(주)나노엔텍,039860,2012/12,44437103,22976602
(주)나노엔텍,039860,2013/12,44803627,23577971
(주)나노엔텍,039860,2014/12,43261142,35502372
(주)나노엔텍,039860,2015/12,52687009,38408344
(주)나노엔텍,039860,2016/12,45707894,25576796
(주)나노엔텍,039860,2017/12,42369896,23731000
(주)나노엔텍,039860,2018/12,42161682,35150401
(주)나노엔텍,039860,2019/12,46639328,41025691
(주)나노엔텍,039860,2020/12,52815450,45487011
(주)나노트로닉스,010670,2011/12,48556005,20264575
(주)나노트로닉스,010670,2012/12,51585217,23057552
(주)나래나노텍,137080,2011/12,,
(주)나래나노텍,137080,2012/12,,
(주)나래나노텍,137080,2013/12,,
(주)나래나노텍,137080,2014/12,,
(주)나래나노텍,137080,2015/12,,
(주)나래나노텍,137080,2016/12,,
(주)나래나노텍,137080,2017/12,,
(주)나래나노텍,137080,2018/12,,
(주)나래나노텍,137080,2019/12,,
(주)나래나노텍,137080,2020/12,126947146,45920594
(주)나무가,190510,2011/12,,
(주)나무가,190510,2012/12,64133581,1803181
(주)나무가,190510,2013/12,91254175,16750263
(주)나무가,190510,2014/12,135551568,19368729
(주)나무가,190510,2015/12,203857810,60274130
(주)나무가,190510,2016/12,195912474,71710818
(주)나무가,190510,2017/12,142414320,30589633
(주)나무가,190510,2018/12,118767661,35422440
(주)나무가,190510,2019/12,194518538,44268639
(주)나무가,190510,2020/12,183374402,38372220
(주)나스미디어,089600,2011/12,,
(주)나스미디어,089600,2012/12,,
(주)나스미디어,089600,2013/12,,
(주)나스미디어,089600,2014/12,,
(주)나스미디어,089600,2015/12,,
(주)나스미디어,089600,2016/12,263925022,104423228
(주)나스미디어,089600,2017/12,315966980,127769767
(주)나스미디어,089600,2018/12,303112420,141948762
(주)나스미디어,089600,2019/12,356236026,153131396
(주)나스미디어,089600,2020/12,422038864,200667557
(주)나이벡,138610,2011/12,,
(주)나이벡,138610,2012/12,,
(주)나이벡,138610,2013/12,,
(주)나이벡,138610,2014/12,,
(주)나이벡,138610,2015/12,,
(주)나이벡,138610,2016/12,,
(주)나이벡,138610,2017/12,,
(주)나이벡,138610,2018/12,,
(주)나이벡,138610,2019/12,,
(주)나이벡,138610,2020/12,,
(주)나이스디앤비,130580,2011/12,,
(주)나이스디앤비,130580,2012/12,,
(주)나이스디앤비,130580,2013/12,,
(주)나이스디앤비,130580,2014/12,,
