회사명,거래소코드,회계년도,자산(*)(IFRS),자본(*)(IFRS)
(주)강스템바이오텍,217730,2013/12,,
(주)강스템바이오텍,217730,2014/12,,
(주)강스템바이오텍,217730,2015/12,24982626,21237036
(주)강스템바이오텍,217730,2016/12,47441769,22976911
(주)강스템바이오텍,217730,2017/12,44508729,24668128
(주)강스템바이오텍,217730,2018/12,66184838,47944961
(주)강스템바이오텍,217730,2019/12,98625925,70845209
(주)강스템바이오텍,217730,2020/12,68097299,51430858
(주)강원랜드,035250,2011/12,2730283806,2278202202
(주)강원랜드,035250,2012/12,2915385756,2383160603
(주)강원랜드,035250,2013/12,3105430200,2523962938
(주)강원랜드,035250,2014/12,3380461682,2716175018
(주)강원랜드,035250,2015/12,3688060027,2997442337
(주)강원랜드,035250,2016/12,3975979890,3252738063
(주)강원랜드,035250,2017/12,4182527382,3500789656
(주)강원랜드,035250,2018/12,4229630541,3586452533
(주)강원랜드,035250,2019/12,4436461953,3718433001
(주)강원랜드,035250,2020/12,3635973900,3244743975
(주)강원에너지,114190,2011/11,53719067,24502434
(주)강원에너지,114190,2012/12,89258208,36107930
(주)강원에너지,114190,2013/12,72441333,45877155
(주)강원에너지,114190,2014/12,67037639,50445491
(주)강원에너지,114190,2015/12,80939019,54880924
(주)강원에너지,114190,2016/12,70850137,53746356
(주)강원에너지,114190,2017/12,87781416,47117020
(주)강원에너지,114190,2018/12,89619750,49286354
(주)강원에너지,114190,2019/12,55106032,22904034
(주)강원에너지,114190,2020/12,32998279,17211371
(주)갤럭시아에스엠,011420,2011/12,40711969,24539613
(주)갤럭시아에스엠,011420,2012/12,40169876,25153401
(주)갤럭시아에스엠,011420,2013/12,34158874,22472626
(주)갤럭시아에스엠,011420,2014/12,40528250,23402468
(주)갤럭시아에스엠,011420,2015/12,67196553,50665218
(주)갤럭시아에스엠,011420,2016/12,55825556,44846832
(주)갤럭시아에스엠,011420,2017/12,48958128,40494336
(주)갤럭시아에스엠,011420,2018/12,33337692,26797332
(주)갤럭시아에스엠,011420,2019/12,28241598,21798750
(주)갤럭시아에스엠,011420,2020/12,28554685,20719428
(주)경농,002100,2011/12,176741869,146016982
(주)경농,002100,2012/12,203467698,151500247
(주)경농,002100,2013/12,214988593,162696463
(주)경농,002100,2014/12,230870852,168998955
(주)경농,002100,2015/12,265109291,173056378
(주)경농,002100,2016/12,266622289,176722752
(주)경농,002100,2017/12,268967010,182959158
(주)경농,002100,2018/12,285031873,187066687
(주)경농,002100,2019/12,297197088,190892614
(주)경농,002100,2020/12,299102193,197265917
(주)경동나비엔,009450,2011/12,224373470,143268094
(주)경동나비엔,009450,2012/12,254627468,152201349
(주)경동나비엔,009450,2013/12,301475800,161494784
(주)경동나비엔,009450,2014/12,331089242,167984480
(주)경동나비엔,009450,2015/12,324848990,185208256
(주)경동나비엔,009450,2016/12,347643876,210193123
(주)경동나비엔,009450,2017/12,391400492,222028494
(주)경동나비엔,009450,2018/12,440513661,240355951
(주)경동나비엔,009450,2019/12,461607017,254559521
(주)경동나비엔,009450,2020/12,535511600,281450512
(주)경동도시가스,267290,2017/12,707917077,292628586
(주)경동도시가스,267290,2018/12,775880913,318760537
(주)경동도시가스,267290,2019/12,747453908,337701666
(주)경동도시가스,267290,2020/12,697182108,354868269
(주)경동인베스트,012320,2011/12,941176098,412912132
(주)경동인베스트,012320,2012/12,1168400020,468921996
(주)경동인베스트,012320,2013/12,1161427092,516833582
(주)경동인베스트,012320,2014/12,1101071366,560802056
(주)경동인베스트,012320,2015/12,926392697,548528455
(주)경동인베스트,012320,2016/12,903818865,556247783
(주)경동인베스트,012320,2017/12,318031347,309789000
(주)경동인베스트,012320,2018/12,318776653,310422538
(주)경동인베스트,012320,2019/12,316572482,308309156
(주)경동인베스트,012320,2020/12,306973265,305525940
(주)경방,000050,2011/12,1331930968,676624221
(주)경방,000050,2012/12,1301719900,669735441
(주)경방,000050,2013/12,1261257414,685569176
(주)경방,000050,2014/12,1275008413,651570419
(주)경방,000050,2015/12,1259512344,671770865
(주)경방,000050,2016/12,1237024388,690245544
(주)경방,000050,2017/12,1199063663,710964923
(주)경방,000050,2018/12,1226545382,729185709
(주)경방,000050,2019/12,1296265431,740731873
(주)경방,000050,2020/12,1212393834,759469891
(주)경보제약,214390,2011/12,,
(주)경보제약,214390,2012/12,,
(주)경보제약,214390,2013/12,143382795,66218806
(주)경보제약,214390,2014/12,168034561,68329856
(주)경보제약,214390,2015/12,195488457,122817151
(주)경보제약,214390,2016/12,203735980,129402340
(주)경보제약,214390,2017/12,204869399,141509596
(주)경보제약,214390,2018/12,221622993,149012165
(주)경보제약,214390,2019/12,237816742,149163504
(주)경보제약,214390,2020/12,253239177,156056794
(주)경인양행,012610,2011/12,245825940,158882273
(주)경인양행,012610,2012/12,241045608,162112825
(주)경인양행,012610,2013/12,274570963,178074513
(주)경인양행,012610,2014/12,267331084,186433506
(주)경인양행,012610,2015/12,273778266,185903130
(주)경인양행,012610,2016/12,290035389,191021720
(주)경인양행,012610,2017/12,296909084,190844102
(주)경인양행,012610,2018/12,344908257,198237400
(주)경인양행,012610,2019/12,381063538,201086327
(주)경인양행,012610,2020/12,386097816,191584529
(주)고려시멘트,198440,2014/12,,
(주)고려시멘트,198440,2015/12,,
(주)고려시멘트,198440,2016/12,,
(주)고려시멘트,198440,2017/12,115881620,77394108
(주)고려시멘트,198440,2018/12,127536833,86510962
(주)고려시멘트,198440,2019/12,127035573,88445378
(주)고려시멘트,198440,2020/12,115337527,92362134
(주)고바이오랩,348150,2019/12,34573964,-53757039
(주)고바이오랩,348150,2020/12,55675224,54133946
(주)고영테크놀러지,098460,2011/12,87017886,70382391
(주)고영테크놀러지,098460,2012/12,103019642,84090906
(주)고영테크놀러지,098460,2013/12,121329325,100051693
(주)고영테크놀러지,098460,2014/12,141873467,118348519
(주)고영테크놀러지,098460,2015/12,160170850,133570714
(주)고영테크놀러지,098460,2016/12,194332855,157572806
(주)고영테크놀러지,098460,2017/12,205696350,164836232
(주)고영테크놀러지,098460,2018/12,279985447,229271175
(주)고영테크놀러지,098460,2019/12,308020011,252020628
(주)고영테크놀러지,098460,2020/12,303115486,252662621
(주)골드앤에스,035290,2011/12,46347129,22637807
(주)골드앤에스,035290,2012/12,51062616,26252682
(주)골드앤에스,035290,2013/12,34508798,9813150
(주)골드앤에스,035290,2014/12,28884288,9084260
(주)골드앤에스,035290,2015/12,23597566,14991660
(주)골드앤에스,035290,2016/12,18296141,14102143
(주)골드앤에스,035290,2017/12,16994788,13104737
(주)골드앤에스,035290,2018/12,42472631,13867013
(주)골드앤에스,035290,2019/12,16096170,-5001092
(주)골드앤에스,035290,2020/12,20634172,14488649
(주)골드퍼시픽,038530,2011/12,27473520,21829724
(주)골드퍼시픽,038530,2012/12,29861540,22928402
(주)골드퍼시픽,038530,2013/12,30517744,17116411
(주)골드퍼시픽,038530,2014/12,31936409,16902289
(주)골드퍼시픽,038530,2015/12,27495738,20115559
(주)골드퍼시픽,038530,2016/12,11122066,1889641
(주)골드퍼시픽,038530,2017/12,26567967,5364494
(주)골드퍼시픽,038530,2018/12,37288362,20086698
(주)골드퍼시픽,038530,2019/12,72945743,21069318
(주)골드퍼시픽,038530,2020/12,71420104,59737820
(주)골프존,215000,2015/12,171629353,105063093
(주)골프존,215000,2016/12,177635830,115886579
(주)골프존,215000,2017/12,239011847,181394935
(주)골프존,215000,2018/12,254578679,197436844
(주)골프존,215000,2019/12,304860836,205529589
(주)골프존,215000,2020/12,348043074,228577113
(주)골프존뉴딘홀딩스,121440,2011/12,373246120,348104397
(주)골프존뉴딘홀딩스,121440,2012/12,512614848,410999847
(주)골프존뉴딘홀딩스,121440,2013/12,589946855,427556455
(주)골프존뉴딘홀딩스,121440,2014/12,586599347,473636026
(주)골프존뉴딘홀딩스,121440,2015/12,585663015,551703320
(주)골프존뉴딘홀딩스,121440,2016/12,561892958,506841449
(주)골프존뉴딘홀딩스,121440,2017/12,536244772,480074463
(주)골프존뉴딘홀딩스,121440,2018/12,563387103,484480922
(주)골프존뉴딘홀딩스,121440,2019/12,537526345,450069457
(주)골프존뉴딘홀딩스,121440,2020/12,562128924,468244376
(주)공구우먼,366030,2017/12,,
(주)공구우먼,366030,2018/12,,
(주)공구우먼,366030,2019/12,,
(주)공구우먼,366030,2020/12,23980267,21254528
(주)광림,014200,2011/12,86353051,56677106
(주)광림,014200,2012/12,89766075,63502275
(주)광림,014200,2013/12,101592603,64796802
(주)광림,014200,2014/12,120284256,66259380
(주)광림,014200,2015/12,146338755,80899308
(주)광림,014200,2016/12,152080347,90221084
(주)광림,014200,2017/12,369582323,176556237
(주)광림,014200,2018/12,236379465,120931215
(주)광림,014200,2019/12,193568854,60749234
(주)광림,014200,2020/12,234833331,148097628
(주)광명전기,017040,2011/12,99992644,56987613
(주)광명전기,017040,2012/12,104218586,55136666
(주)광명전기,017040,2013/12,105483729,60793004
(주)광명전기,017040,2014/12,119791644,67539909
(주)광명전기,017040,2015/12,107719518,71275955
(주)광명전기,017040,2016/12,125405290,86335358
(주)광명전기,017040,2017/12,128881408,85430878
(주)광명전기,017040,2018/12,124159091,87989865
(주)광명전기,017040,2019/12,140591786,94186043
(주)광명전기,017040,2020/12,149581712,98896645
(주)광무,029480,2011/12,85836111,49296267
(주)광무,029480,2012/12,60163490,36518143
(주)광무,029480,2013/12,28890332,11346800
(주)광무,029480,2014/12,27862528,8505450
(주)광무,029480,2015/12,21133216,7744452
(주)광무,029480,2016/12,29089768,8053231
(주)광무,029480,2017/12,28950503,13552175
(주)광무,029480,2018/12,26017306,9695091
(주)광무,029480,2019/12,57156720,22202195
(주)광무,029480,2020/12,37073488,24203641
(주)광주신세계,037710,2011/12,380753715,310214632
(주)광주신세계,037710,2012/12,430662968,361615843
(주)광주신세계,037710,2013/12,656355808,408690826
(주)광주신세계,037710,2014/12,652758688,448624926
(주)광주신세계,037710,2015/12,659495158,491380796
(주)광주신세계,037710,2016/12,655502726,534290186
(주)광주신세계,037710,2017/12,655018971,579363832
(주)광주신세계,037710,2018/12,696204982,620656716
(주)광주신세계,037710,2019/12,752423111,661189861
(주)광주신세계,037710,2020/12,784428251,698267903
(주)구영테크,053270,2011/12,94940916,27962532
(주)구영테크,053270,2012/12,109440531,29302171
(주)구영테크,053270,2013/12,97549406,30762180
(주)구영테크,053270,2014/12,101546298,42200180
(주)구영테크,053270,2015/12,102761141,44066560
(주)구영테크,053270,2016/12,108895002,46429602
(주)구영테크,053270,2017/12,139584386,47102417
(주)구영테크,053270,2018/12,146492374,57861349
(주)구영테크,053270,2019/12,141034767,58668784
(주)구영테크,053270,2020/12,151132791,58729775
(주)국동,005320,2011/12,42291817,2694312
(주)국동,005320,2012/12,35813125,2775119
(주)국동,005320,2013/12,40194919,5947778
(주)국동,005320,2014/12,53392996,14336568
(주)국동,005320,2015/12,66242141,22395455
(주)국동,005320,2016/12,86116813,40069999
(주)국동,005320,2017/12,75154254,38638770
(주)국동,005320,2018/12,80727956,41762492
(주)국동,005320,2019/12,96856085,54349558
(주)국동,005320,2020/12,131882662,64852322
(주)국보,001140,2011/12,97415381,33874415
(주)국보,001140,2012/12,93953021,31655538
(주)국보,001140,2013/12,94915572,27678685
(주)국보,001140,2014/12,87597909,20984752
(주)국보,001140,2015/12,80158667,17113465
(주)국보,001140,2016/12,77487791,13200649
(주)국보,001140,2017/12,69819240,16039171
(주)국보,001140,2018/12,45599283,11578143
(주)국보,001140,2019/12,57467353,12278837
(주)국보,001140,2020/12,74173160,31202280
(주)국보디자인,066620,2011/12,79203327,48472432
(주)국보디자인,066620,2012/12,92873298,58283419
(주)국보디자인,066620,2013/12,121964092,64945696
(주)국보디자인,066620,2014/12,125685773,70452085
(주)국보디자인,066620,2015/12,129037954,75467148
(주)국보디자인,066620,2016/12,150830570,80282408
(주)국보디자인,066620,2017/12,158317679,94380512
(주)국보디자인,066620,2018/12,161750972,103598968
(주)국보디자인,066620,2019/12,197762410,112076012
(주)국보디자인,066620,2020/12,248699431,152420922
(주)국순당,043650,2011/12,193849294,174045265
(주)국순당,043650,2012/12,203489729,186305726
(주)국순당,043650,2013/12,203199593,185985822
(주)국순당,043650,2014/12,205782935,186838479
(주)국순당,043650,2015/12,203528460,186118215
(주)국순당,043650,2016/12,200077411,183188543
(주)국순당,043650,2017/12,208832133,191745752
(주)국순당,043650,2018/12,221229658,203499644
(주)국순당,043650,2019/12,210006510,196923842
(주)국순당,043650,2020/12,226012235,210249290
(주)국영지앤엠,006050,2011/12,61022765,32733005
(주)국영지앤엠,006050,2012/12,60197670,45960267
(주)국영지앤엠,006050,2013/12,63108054,46345349
(주)국영지앤엠,006050,2014/12,58995756,47240880
(주)국영지앤엠,006050,2015/12,63713392,48972537
(주)국영지앤엠,006050,2016/12,65670915,50558041
(주)국영지앤엠,006050,2017/12,66101002,52611544
(주)국영지앤엠,006050,2018/12,60335138,51748308
(주)국영지앤엠,006050,2019/12,68657302,52826451
(주)국영지앤엠,006050,2020/12,70027760,51012563
(주)국전약품,307750,2018/12,,
(주)국전약품,307750,2019/12,,
(주)국전약품,307750,2020/12,57802440,32230044
(주)그래디언트,035080,2011/12,521750143,334573662
(주)그래디언트,035080,2012/12,482181596,411656935
(주)그래디언트,035080,2013/12,473264178,402332194
(주)그래디언트,035080,2014/12,455860309,420045194
(주)그래디언트,035080,2015/12,475792856,431479123
(주)그래디언트,035080,2016/12,404583242,389295611
(주)그래디언트,035080,2017/12,344022749,328719925
(주)그래디언트,035080,2018/12,339457297,325218418
(주)그래디언트,035080,2019/12,336145750,320088192
(주)그래디언트,035080,2020/12,548439865,336588886
(주)그리티,204020,2011/12,,
(주)그리티,204020,2012/12,,
(주)그리티,204020,2013/12,,
(주)그리티,204020,2014/12,45693601,39831909
(주)그리티,204020,2015/12,49392580,43877964
(주)그리티,204020,2016/12,55730709,47663721
(주)그리티,204020,2017/12,62493776,54455530
(주)그리티,204020,2018/12,86557287,74051025
(주)그리티,204020,2019/12,86803901,74833748
(주)그리티,204020,2020/12,82599999,73281243
(주)그린플러스,186230,2011/12,,
(주)그린플러스,186230,2012/12,,
(주)그린플러스,186230,2013/12,,
(주)그린플러스,186230,2014/12,,
(주)그린플러스,186230,2015/12,,
(주)그린플러스,186230,2016/12,,
(주)그린플러스,186230,2017/12,,
(주)그린플러스,186230,2018/12,48674825,23476181
(주)그린플러스,186230,2019/12,56587945,36772875
(주)그린플러스,186230,2020/12,72749601,33448330
(주)극동자동화,272420,2014/12,,
(주)극동자동화,272420,2015/12,,
(주)극동자동화,272420,2016/12,,
(주)극동자동화,272420,2017/12,,
(주)글로벌스탠다드테크놀로지,083450,2011/12,49714791,26355250
(주)글로벌스탠다드테크놀로지,083450,2012/12,49050552,33379017
(주)글로벌스탠다드테크놀로지,083450,2013/12,57053266,39169886
(주)글로벌스탠다드테크놀로지,083450,2014/12,63317853,45624394
(주)글로벌스탠다드테크놀로지,083450,2015/12,60770711,49667680
(주)글로벌스탠다드테크놀로지,083450,2016/12,78440684,53103831
(주)글로벌스탠다드테크놀로지,083450,2017/12,88966307,67278478
(주)글로벌스탠다드테크놀로지,083450,2018/12,87524011,72640818
(주)글로벌스탠다드테크놀로지,083450,2019/12,120984040,90403163
(주)글로벌스탠다드테크놀로지,083450,2020/12,120933571,98469888
(주)금양,001570,2011/12,124086392,43024251
(주)금양,001570,2012/12,127197484,45261596
(주)금양,001570,2013/12,142485295,45422689
(주)금양,001570,2014/12,145135554,46481587
(주)금양,001570,2015/12,157467543,46703110
(주)금양,001570,2016/12,174953809,22239137
(주)금양,001570,2017/12,167120998,31251974
(주)금양,001570,2018/12,155507052,49187838
(주)금양,001570,2019/12,171931897,35004819
(주)금양,001570,2020/12,160123582,46372202
(주)금오하이텍,165270,2011/12,,
(주)금오하이텍,165270,2012/12,,
(주)금오하이텍,165270,2013/12,,
(주)금오하이텍,165270,2014/12,,
(주)금오하이텍,165270,2015/12,,
(주)금오하이텍,165270,2016/12,,
(주)금호에이치티,214330,2011/12,,
(주)금호에이치티,214330,2012/12,,
(주)금호에이치티,214330,2013/12,87559606,47597849
(주)금호에이치티,214330,2014/12,102363475,62005844
(주)금호에이치티,214330,2015/12,109367040,82117294
(주)금호에이치티,214330,2016/12,151786975,92714230
(주)금호에이치티,214330,2017/12,146407321,97560824
(주)금호에이치티,214330,2018/12,230268876,131065067
(주)금호에이치티,214330,2019/12,314666069,180769966
(주)금호에이치티,214330,2020/12,333352730,226810334
(주)금화피에스시,036190,2011/12,94174014,76345247
(주)금화피에스시,036190,2012/12,105483370,92305175
(주)금화피에스시,036190,2013/12,135180701,113200802
(주)금화피에스시,036190,2014/12,146360964,126877795
(주)금화피에스시,036190,2015/12,175086217,142256701
(주)금화피에스시,036190,2016/12,197557790,159990222
(주)금화피에스시,036190,2017/12,216252318,176303850
(주)금화피에스시,036190,2018/12,242310750,211366403
(주)금화피에스시,036190,2019/12,255149491,227742546
(주)금화피에스시,036190,2020/12,263069400,236917155
(주)기가레인,049080,2013/12,122926340,62596675
(주)기가레인,049080,2014/12,133237615,77078658
(주)기가레인,049080,2015/12,148551434,65461853
(주)기가레인,049080,2016/12,152639799,57063120
(주)기가레인,049080,2017/12,179756049,89023884
(주)기가레인,049080,2018/12,176296022,66878280
(주)기가레인,049080,2019/12,115539385,27887641
(주)기가레인,049080,2020/12,100665922,50789244
(주)기산텔레콤,035460,2011/12,59416681,32479105
(주)기산텔레콤,035460,2012/12,46588431,33918079
(주)기산텔레콤,035460,2013/12,57254925,36087855
(주)기산텔레콤,035460,2014/12,54284156,36429569
(주)기산텔레콤,035460,2015/12,53901387,38723216
(주)기산텔레콤,035460,2016/12,47117435,37420205
(주)기산텔레콤,035460,2017/12,44554117,35438291
(주)기산텔레콤,035460,2018/12,34219394,29246000
(주)기산텔레콤,035460,2019/12,40025881,31379895
(주)기산텔레콤,035460,2020/12,42845627,29889440
(주)까뮤이앤씨,013700,2011/12,248885092,46083061
(주)까뮤이앤씨,013700,2012/12,203481478,40763024
(주)까뮤이앤씨,013700,2013/12,167635146,33715699
(주)까뮤이앤씨,013700,2014/12,129647729,35697347
(주)까뮤이앤씨,013700,2015/12,129465385,45786128
(주)까뮤이앤씨,013700,2016/12,142978398,51113063
(주)까뮤이앤씨,013700,2017/12,139937930,59106121
(주)까뮤이앤씨,013700,2018/12,142240175,59562903
(주)까뮤이앤씨,013700,2019/12,168876167,70932062
(주)까뮤이앤씨,013700,2020/12,166218114,82765539
(주)까스텔바작,308100,2016/12,63046838,45815928
(주)까스텔바작,308100,2017/12,64178530,52224063
(주)까스텔바작,308100,2018/12,78840385,63194877
(주)까스텔바작,308100,2019/12,88614189,77312548
(주)까스텔바작,308100,2020/12,100111686,79965940
(주)나노,187790,2014/12,,
(주)나노,187790,2015/12,72593232,31847169
(주)나노,187790,2016/12,57351009,27068246
(주)나노,187790,2017/12,59149648,37017160
(주)나노,187790,2018/12,66624058,44484099
(주)나노,187790,2019/12,73016346,47992724
(주)나노,187790,2020/12,69834141,43236671
(주)나노브릭,286750,2015/12,,
(주)나노브릭,286750,2016/12,,
(주)나노브릭,286750,2017/12,17992554,410963
(주)나노브릭,286750,2018/12,18089979,1524203
(주)나노브릭,286750,2019/12,24551526,14149812
(주)나노브릭,286750,2020/12,22122099,14130587
(주)나노신소재,121600,2011/12,73039188,58178847
(주)나노신소재,121600,2012/12,68451247,56696577
(주)나노신소재,121600,2013/12,67590589,57932739
(주)나노신소재,121600,2014/12,71672677,61576959
(주)나노신소재,121600,2015/12,82685704,73932499
(주)나노신소재,121600,2016/12,84288643,77643425
(주)나노신소재,121600,2017/12,89013566,82967807
(주)나노신소재,121600,2018/12,98056917,88802531
(주)나노신소재,121600,2019/12,101777474,93774861
(주)나노신소재,121600,2020/12,106596286,92286945
(주)나노엔텍,039860,2011/12,50081334,29212068
(주)나노엔텍,039860,2012/12,44443980,22983479
(주)나노엔텍,039860,2013/12,46319139,25096460
(주)나노엔텍,039860,2014/12,46185844,38430723
(주)나노엔텍,039860,2015/12,58551326,49032474
(주)나노엔텍,039860,2016/12,47792785,27669734
(주)나노엔텍,039860,2017/12,45400592,26788106
(주)나노엔텍,039860,2018/12,45657059,38716209
(주)나노엔텍,039860,2019/12,50554981,45112180
(주)나노엔텍,039860,2020/12,55778128,49154354
(주)나노트로닉스,010670,2011/12,49592390,24479442
(주)나노트로닉스,010670,2012/12,52490396,25777649
(주)나래나노텍,137080,2011/12,,
(주)나래나노텍,137080,2012/12,,
(주)나래나노텍,137080,2013/12,,
(주)나래나노텍,137080,2014/12,,
(주)나래나노텍,137080,2015/12,,
(주)나래나노텍,137080,2016/12,,
(주)나래나노텍,137080,2017/12,133666578,51612415
(주)나래나노텍,137080,2018/12,119650955,55300142
(주)나래나노텍,137080,2019/12,122982111,44380307
(주)나래나노텍,137080,2020/12,126972180,45963589
(주)나무가,190510,2011/12,,
(주)나무가,190510,2012/12,42172084,1084587
(주)나무가,190510,2013/12,66886285,14065897
(주)나무가,190510,2014/12,99493785,19842096
(주)나무가,190510,2015/12,147630953,59685865
(주)나무가,190510,2016/12,114797114,71264453
(주)나무가,190510,2017/12,73845257,28107335
(주)나무가,190510,2018/12,78000824,38511623
(주)나무가,190510,2019/12,157114377,49646661
(주)나무가,190510,2020/12,161567610,51090794
(주)나스미디어,089600,2011/12,92383556,38639516
(주)나스미디어,089600,2012/12,90674801,43621857
