회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),상장일,상장폐지일
(주)가비아,079940,2019/12,82964911,54084066,4889113,4654769,58254105,2005/10/19,
(주)가비아,079940,2020/12,98083331,58359903,7129578,4758214,64097025,2005/10/19,
(주)가온칩스,399720,2018/12,,,,,,2022/05/20,
(주)가온칩스,399720,2019/12,,,,,,2022/05/20,
(주)가온칩스,399720,2020/12,25531855,10874663,1973589,1851742,17098306,2022/05/20,
(주)강스템바이오텍,217730,2013/12,,,,,,2015/12/21,
(주)강스템바이오텍,217730,2014/12,,,,,,2015/12/21,
(주)강스템바이오텍,217730,2015/12,24982626,21237036,-5125200,-5754141,1484593,2015/12/21,
(주)강스템바이오텍,217730,2016/12,47441769,22976911,-9117541,-8300375,842805,2015/12/21,
(주)강스템바이오텍,217730,2017/12,44508729,24668128,-11132505,-10855842,5394323,2015/12/21,
(주)강스템바이오텍,217730,2018/12,66184838,47944961,-10525345,-13500909,1001039,2015/12/21,
(주)강스템바이오텍,217730,2019/12,98625925,70845209,-19411148,-25001590,282069,2015/12/21,
(주)강스템바이오텍,217730,2020/12,68097299,51430858,-16744948,-19492205,295379,2015/12/21,
(주)강원랜드,035250,2011/12,2730283806,2278202202,501039825,393401121,1263651213,2003/09/04,
(주)강원랜드,035250,2012/12,2915385756,2383160603,416789419,296503993,1292896121,2003/09/04,
(주)강원랜드,035250,2013/12,3105430200,2523962938,398563590,293129468,1356906162,2003/09/04,
(주)강원랜드,035250,2014/12,3380461682,2716175018,526317689,363815729,1492291312,2003/09/04,
(주)강원랜드,035250,2015/12,3688060027,2997442337,603884505,430459518,1630976696,2003/09/04,
(주)강원랜드,035250,2016/12,3975979890,3252738063,624885355,454998593,1694575212,2003/09/04,
(주)강원랜드,035250,2017/12,4182527382,3500789656,535824585,437096330,1602901764,2003/09/04,
(주)강원랜드,035250,2018/12,4229630541,3586452533,434851737,297320114,1436042435,2003/09/04,
(주)강원랜드,035250,2019/12,4436461953,3718433001,502725264,335609508,1517612252,2003/09/04,
(주)강원랜드,035250,2020/12,3635973900,3244743975,-430879909,-278763195,477474858,2003/09/04,
(주)강원에너지,114190,2011/11,53719067,24502434,6590008,5754715,50222892,2009/11/20,
(주)강원에너지,114190,2012/12,89258208,36107930,11611165,8974549,106471214,2009/11/20,
(주)강원에너지,114190,2013/12,72441333,45877155,3234230,3922208,50660659,2009/11/20,
(주)강원에너지,114190,2014/12,67037639,50445491,1626297,1123194,51481321,2009/11/20,
(주)강원에너지,114190,2015/12,80939019,54880924,878120,885783,48852892,2009/11/20,
(주)강원에너지,114190,2016/12,70850137,53746356,-901973,-762058,44448760,2009/11/20,
(주)강원에너지,114190,2017/12,87781416,47117020,-5421114,-6291307,83113029,2009/11/20,
(주)강원에너지,114190,2018/12,89619750,49286354,532248,1977524,85905365,2009/11/20,
(주)강원에너지,114190,2019/12,55106032,22904034,-17150531,-33460765,42549622,2009/11/20,
(주)강원에너지,114190,2020/12,32998279,17211371,-8978062,-14039206,38345166,2009/11/20,
(주)갤럭시아에스엠,011420,2011/12,40711969,24539613,5151679,3000743,31931418,1989/11/14,
(주)갤럭시아에스엠,011420,2012/12,40169876,25153401,1598883,223810,37398255,1989/11/14,
(주)갤럭시아에스엠,011420,2013/12,34158874,22472626,652285,-1420345,30903637,1989/11/14,
(주)갤럭시아에스엠,011420,2014/12,40528250,23402468,-512149,-931106,33027933,1989/11/14,
(주)갤럭시아에스엠,011420,2015/12,67196553,50665218,2581511,2575902,53784932,1989/11/14,
(주)갤럭시아에스엠,011420,2016/12,55825556,44846832,-3225040,-1562620,45665676,1989/11/14,
(주)갤럭시아에스엠,011420,2017/12,48958128,40494336,-3330404,-5899738,36917656,1989/11/14,
(주)갤럭시아에스엠,011420,2018/12,33337692,26797332,-6687587,-15678085,22030258,1989/11/14,
(주)갤럭시아에스엠,011420,2019/12,28241598,21798750,-776659,-1375316,28732679,1989/11/14,
(주)갤럭시아에스엠,011420,2020/12,28554685,20719428,1375120,983909,19539594,1989/11/14,
(주)경농,002100,2011/12,176741869,146016982,8213288,3154155,120728258,1977/06/30,
(주)경농,002100,2012/12,203467698,151500247,13993847,6590012,131021366,1977/06/30,
(주)경농,002100,2013/12,214988593,162696463,16404459,13751960,139237273,1977/06/30,
(주)경농,002100,2014/12,230870852,168998955,14039409,9271741,134806677,1977/06/30,
(주)경농,002100,2015/12,265109291,173056378,9122621,6488880,137609256,1977/06/30,
(주)경농,002100,2016/12,266622289,176722752,7226128,5770891,143209666,1977/06/30,
(주)경농,002100,2017/12,268967010,182959158,9079453,11539079,143175105,1977/06/30,
(주)경농,002100,2018/12,285031873,187066687,15180272,9613575,146216658,1977/06/30,
(주)경농,002100,2019/12,297197088,190892614,11750268,7061857,151342037,1977/06/30,
(주)경농,002100,2020/12,299102193,197265917,11856809,10459504,165655312,1977/06/30,
(주)경동나비엔,009450,2011/12,224373470,143268094,12583280,9445090,318269213,1993/08/31,
(주)경동나비엔,009450,2012/12,254627468,152201349,11593426,9214927,341339118,1993/08/31,
(주)경동나비엔,009450,2013/12,301475800,161494784,14798703,9251575,371601179,1993/08/31,
(주)경동나비엔,009450,2014/12,331089242,167984480,16079662,9082312,382392117,1993/08/31,
(주)경동나비엔,009450,2015/12,324848990,185208256,20800513,19320742,448302084,1993/08/31,
(주)경동나비엔,009450,2016/12,347643876,210193123,36574176,28636194,506082201,1993/08/31,
(주)경동나비엔,009450,2017/12,391400492,222028494,32019764,16291264,569819524,1993/08/31,
(주)경동나비엔,009450,2018/12,440513661,240355951,29337538,22818064,618058456,1993/08/31,
(주)경동나비엔,009450,2019/12,461607017,254559521,39202886,20474157,655419303,1993/08/31,
(주)경동나비엔,009450,2020/12,535511600,281450512,45462923,18888348,746324940,1993/08/31,
(주)경동도시가스,267290,2017/12,707917077,292628586,21529500,17678888,870828897,2017/05/12,
(주)경동도시가스,267290,2018/12,775880913,318760537,43022492,33981432,1605687067,2017/05/12,
(주)경동도시가스,267290,2019/12,747453908,337701666,27681162,24355132,1421866212,2017/05/12,
(주)경동도시가스,267290,2020/12,697182108,354868269,17853641,18813524,1086023402,2017/05/12,
(주)경동인베스트,012320,2011/12,941176098,412912132,55958306,50053289,1806174764,1997/03/07,
(주)경동인베스트,012320,2012/12,1168400020,468921996,51501974,56917580,2403814656,1997/03/07,
(주)경동인베스트,012320,2013/12,1161427092,516833582,46688406,46253877,2664100017,1997/03/07,
(주)경동인베스트,012320,2014/12,1101071366,560802056,37837347,44839494,2399450987,1997/03/07,
(주)경동인베스트,012320,2015/12,926392697,548528455,18397933,-6095609,1352478311,1997/03/07,
(주)경동인베스트,012320,2016/12,903818865,556247783,23543293,16356641,1021002691,1997/03/07,
(주)경동인베스트,012320,2017/12,318031347,309789000,-2256859,7248447,612436,1997/03/07,
(주)경동인베스트,012320,2018/12,318776653,310422538,-161816,1574966,7460898,1997/03/07,
(주)경동인베스트,012320,2019/12,316572482,308309156,-95605,-917643,8641051,1997/03/07,
(주)경동인베스트,012320,2020/12,306973265,305525940,467407,1309750,7700621,1997/03/07,
(주)경방,000050,2011/12,1331930968,676624221,21404671,-1822388,275746943,1956/03/03,
(주)경방,000050,2012/12,1301719900,669735441,8240616,-7074187,265409209,1956/03/03,
(주)경방,000050,2013/12,1261257414,685569176,35902115,15103835,264782077,1956/03/03,
(주)경방,000050,2014/12,1275008413,651570419,32095524,14235818,256979444,1956/03/03,
(주)경방,000050,2015/12,1259512344,671770865,38629926,21604723,307744480,1956/03/03,
(주)경방,000050,2016/12,1237024388,690245544,42576774,30977743,313876822,1956/03/03,
(주)경방,000050,2017/12,1199063663,710964923,39411167,25679379,288103985,1956/03/03,
(주)경방,000050,2018/12,1226545382,729185709,38971836,29198252,279085217,1956/03/03,
(주)경방,000050,2019/12,1296265431,740731873,38966424,22223943,253552382,1956/03/03,
(주)경방,000050,2020/12,1212393834,759469891,25369343,26011323,226061886,1956/03/03,
(주)경보제약,214390,2011/12,,,,,,2015/06/29,
(주)경보제약,214390,2012/12,,,,,,2015/06/29,
(주)경보제약,214390,2013/12,143382795,66218806,26213776,18024925,162218140,2015/06/29,
(주)경보제약,214390,2014/12,168034561,68329856,27668563,8635954,169781246,2015/06/29,
(주)경보제약,214390,2015/12,195488457,122817151,25632335,26109623,178032632,2015/06/29,
(주)경보제약,214390,2016/12,203735980,129402340,15594227,12705930,186726170,2015/06/29,
(주)경보제약,214390,2017/12,204869399,141509596,24586649,17963310,191661374,2015/06/29,
(주)경보제약,214390,2018/12,221622993,149012165,17266575,13116049,201343596,2015/06/29,
(주)경보제약,214390,2019/12,237816742,149163504,6194073,5285239,191706189,2015/06/29,
(주)경보제약,214390,2020/12,253239177,156056794,8661432,9404446,215285095,2015/06/29,
(주)경인양행,012610,2011/12,245825940,158882273,1876257,2788642,128707611,1995/10/05,
(주)경인양행,012610,2012/12,241045608,162112825,3006834,4475441,141304459,1995/10/05,
(주)경인양행,012610,2013/12,274570963,178074513,12078064,12327177,183106757,1995/10/05,
(주)경인양행,012610,2014/12,267331084,186433506,10970585,9090269,190395047,1995/10/05,
(주)경인양행,012610,2015/12,273778266,185903130,74687,107330,175006703,1995/10/05,
(주)경인양행,012610,2016/12,290035389,191021720,2198152,3724987,179267850,1995/10/05,
(주)경인양행,012610,2017/12,296909084,190844102,159204,531273,193975818,1995/10/05,
(주)경인양행,012610,2018/12,344908257,198237400,11975046,7419717,222659442,1995/10/05,
(주)경인양행,012610,2019/12,381063538,201086327,14176378,4797711,245244968,1995/10/05,
(주)경인양행,012610,2020/12,386097816,191584529,-5436685,-10222700,214380449,1995/10/05,
(주)고려시멘트,198440,2014/12,,,,,,2014/08/13,
(주)고려시멘트,198440,2015/12,,,,,,2014/08/13,
(주)고려시멘트,198440,2016/12,,,,,,2014/08/13,
(주)고려시멘트,198440,2017/12,115881620,77394108,3017621,1003761,87660276,2014/08/13,
(주)고려시멘트,198440,2018/12,127536833,86510962,3837563,4645869,85775723,2014/08/13,
(주)고려시멘트,198440,2019/12,127035573,88445378,-459627,3396444,70921781,2014/08/13,
(주)고려시멘트,198440,2020/12,115337527,92362134,4280746,4445204,70182711,2014/08/13,
(주)고바이오랩,348150,2019/12,34573964,-53757039,-5734638,-44214672,576519,2020/11/18,
(주)고바이오랩,348150,2020/12,55675224,54133946,-10213856,-56315205,4591485,2020/11/18,
(주)고영테크놀러지,098460,2011/12,87017886,70382391,19597519,16580579,80200892,2008/06/03,
(주)고영테크놀러지,098460,2012/12,103019642,84090906,20358471,14836215,100791139,2008/06/03,
(주)고영테크놀러지,098460,2013/12,121329325,100051693,17778872,14816762,103933681,2008/06/03,
(주)고영테크놀러지,098460,2014/12,141873467,118348519,27729256,22775832,135531589,2008/06/03,
(주)고영테크놀러지,098460,2015/12,160170850,133570714,26172507,23271756,138554625,2008/06/03,
(주)고영테크놀러지,098460,2016/12,194332855,157572806,31039820,28063238,153254768,2008/06/03,
(주)고영테크놀러지,098460,2017/12,205696350,164836232,45513084,28907302,188934907,2008/06/03,
(주)고영테크놀러지,098460,2018/12,279985447,229271175,46196834,42430216,219818022,2008/06/03,
(주)고영테크놀러지,098460,2019/12,308020011,252020628,40057965,34702997,209480760,2008/06/03,
(주)고영테크놀러지,098460,2020/12,303115486,252662621,13572990,7447169,157077647,2008/06/03,
(주)골드앤에스,035290,2011/12,46347129,22637807,1392408,1101095,47522791,1999/12/07,
(주)골드앤에스,035290,2012/12,51062616,26252682,-2363142,-6036290,43889087,1999/12/07,
(주)골드앤에스,035290,2013/12,34508798,9813150,-4982102,-16378087,36607591,1999/12/07,
(주)골드앤에스,035290,2014/12,28884288,9084260,-2318778,-8058617,29428881,1999/12/07,
(주)골드앤에스,035290,2015/12,23597566,14991660,1062021,-9396462,22197935,1999/12/07,
(주)골드앤에스,035290,2016/12,18296141,14102143,389642,388207,15893494,1999/12/07,
(주)골드앤에스,035290,2017/12,16994788,13104737,-3690116,-8062623,12802035,1999/12/07,
(주)골드앤에스,035290,2018/12,42472631,13867013,-4559128,-4045846,8680452,1999/12/07,
(주)골드앤에스,035290,2019/12,16096170,-5001092,-7142117,-24883215,7642733,1999/12/07,
(주)골드앤에스,035290,2020/12,20634172,14488649,-2343112,1635730,4138760,1999/12/07,
(주)골드퍼시픽,038530,2011/12,27473520,21829724,1726132,990336,11236925,2000/06/09,
(주)골드퍼시픽,038530,2012/12,29861540,22928402,726901,254546,10491048,2000/06/09,
(주)골드퍼시픽,038530,2013/12,30517744,17116411,-5584540,-8455942,6488691,2000/06/09,
(주)골드퍼시픽,038530,2014/12,31936409,16902289,-5975389,-7306525,4855121,2000/06/09,
(주)골드퍼시픽,038530,2015/12,27495738,20115559,-8197750,-12525668,6121489,2000/06/09,
(주)골드퍼시픽,038530,2016/12,11122066,1889641,-8525119,-23433498,9588100,2000/06/09,
(주)골드퍼시픽,038530,2017/12,26567967,5364494,937598,-965087,5031439,2000/06/09,
(주)골드퍼시픽,038530,2018/12,37288362,20086698,-506241,-4380343,5580994,2000/06/09,
(주)골드퍼시픽,038530,2019/12,72945743,21069318,-3421041,-31603970,11323125,2000/06/09,
(주)골드퍼시픽,038530,2020/12,71420104,59737820,684966,-1498118,14335385,2000/06/09,
(주)골프존,215000,2015/12,171629353,105063093,47628136,33262807,184085342,2015/04/03,
(주)골프존,215000,2016/12,177635830,115886579,43961456,35913366,196864993,2015/04/03,
(주)골프존,215000,2017/12,239011847,181394935,33528808,75544308,171859065,2015/04/03,
(주)골프존,215000,2018/12,254578679,197436844,29085694,21663391,191571105,2015/04/03,
(주)골프존,215000,2019/12,304860836,205529589,36199059,19704546,239051647,2015/04/03,
(주)골프존,215000,2020/12,348043074,228577113,51582977,36329008,281031445,2015/04/03,
(주)골프존뉴딘홀딩스,121440,2011/12,373246120,348104397,54711939,47591974,209788389,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2012/12,512614848,410999847,73882041,72099265,276341690,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2013/12,589946855,427556455,84447683,4493226,340005073,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2014/12,586599347,473636026,101367116,63571492,387066126,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2015/12,585663015,551703320,-13803824,890006593,29389093,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2016/12,561892958,506841449,-5563087,-20255655,27652102,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2017/12,536244772,480074463,-6824300,-21778628,23499543,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2018/12,563387103,484480922,-11005550,-7653686,16100354,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2019/12,537526345,450069457,-17956208,-30341791,26897482,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2020/12,562128924,468244376,36116411,27193646,57481004,2011/05/20,
(주)공구우먼,366030,2017/12,,,,,,2022/03/23,
(주)공구우먼,366030,2018/12,,,,,,2022/03/23,
(주)공구우먼,366030,2019/12,,,,,,2022/03/23,
(주)공구우먼,366030,2020/12,23980267,21254528,5379170,4345851,32683411,2022/03/23,
(주)광림,014200,2011/12,86353051,56677106,5263609,2583332,106495363,1993/07/07,
(주)광림,014200,2012/12,89766075,63502275,1321582,586385,85322569,1993/07/07,
(주)광림,014200,2013/12,101592603,64796802,3310917,1630750,103442134,1993/07/07,
(주)광림,014200,2014/12,120284256,66259380,1910652,1137559,92553612,1993/07/07,
(주)광림,014200,2015/12,146338755,80899308,1326666,9223597,237222890,1993/07/07,
(주)광림,014200,2016/12,152080347,90221084,171774,437352,87302967,1993/07/07,
(주)광림,014200,2017/12,369582323,176556237,2304157,86196134,99421336,1993/07/07,
(주)광림,014200,2018/12,236379465,120931215,2202922,-58294056,75493055,1993/07/07,
(주)광림,014200,2019/12,193568854,60749234,3819332,-68290742,93241157,1993/07/07,
(주)광림,014200,2020/12,234833331,148097628,8224561,-10061099,104253227,1993/07/07,
(주)광명전기,017040,2011/12,99992644,56987613,1483791,-75153,57967857,1990/09/14,
