회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),당기순이익(손실)(IFRS),* (정상)영업손익(보고서기재)(IFRS)
(주)TCC스틸,002710,2014/12,401323585,1022624,10868549
(주)TCC스틸,002710,2015/12,350074629,-140083396,14570434
(주)TCC스틸,002710,2016/12,317235565,15468493,13291420
(주)TCC스틸,002710,2017/12,333762378,-2328706,6759804
(주)TCC스틸,002710,2018/12,351301866,7565000,16306122
(주)TCC스틸,002710,2019/12,339334364,1996130,12657106
(주)TCC스틸,002710,2020/12,323435107,-3176050,2414062
(주)가비아,079940,2011/12,33792831,3262397,3932156
(주)가비아,079940,2012/12,38482449,5737877,2949228
(주)가비아,079940,2013/12,40507693,3786937,3035051
(주)가비아,079940,2014/12,43906243,3076978,3451259
(주)가비아,079940,2015/12,48446932,4288423,4531993
(주)가비아,079940,2016/12,49430564,3544032,3981746
(주)가비아,079940,2017/12,52365659,2493743,3176328
(주)가비아,079940,2018/12,55197652,2762732,4106091
(주)가비아,079940,2019/12,58254105,4654769,4889113
(주)가비아,079940,2020/12,64097025,4758214,7129578
(주)가온칩스,399720,2018/12,,,
(주)가온칩스,399720,2019/12,,,
(주)가온칩스,399720,2020/12,17098306,1851742,1973589
(주)강스템바이오텍,217730,2013/12,,,
(주)강스템바이오텍,217730,2014/12,,,
(주)강스템바이오텍,217730,2015/12,1484593,-5754141,-5125200
(주)강스템바이오텍,217730,2016/12,842805,-8300375,-9117541
(주)강스템바이오텍,217730,2017/12,5394323,-10855842,-11132505
(주)강스템바이오텍,217730,2018/12,1001039,-13500909,-10525345
(주)강스템바이오텍,217730,2019/12,282069,-25001590,-19411148
(주)강스템바이오텍,217730,2020/12,295379,-19492205,-16744948
(주)강원랜드,035250,2011/12,1263651213,393401121,501039825
(주)강원랜드,035250,2012/12,1292896121,296503993,416789419
(주)강원랜드,035250,2013/12,1356906162,293129468,398563590
(주)강원랜드,035250,2014/12,1492291312,363815729,526317689
(주)강원랜드,035250,2015/12,1630976696,430459518,603884505
(주)강원랜드,035250,2016/12,1694575212,454998593,624885355
(주)강원랜드,035250,2017/12,1602901764,437096330,535824585
(주)강원랜드,035250,2018/12,1436042435,297320114,434851737
(주)강원랜드,035250,2019/12,1517612252,335609508,502725264
(주)강원랜드,035250,2020/12,477474858,-278763195,-430879909
(주)강원에너지,114190,2011/11,50222892,5754715,6590008
(주)강원에너지,114190,2012/12,106471214,8974549,11611165
(주)강원에너지,114190,2013/12,50660659,3922208,3234230
(주)강원에너지,114190,2014/12,51481321,1123194,1626297
(주)강원에너지,114190,2015/12,48852892,885783,878120
(주)강원에너지,114190,2016/12,44448760,-762058,-901973
(주)강원에너지,114190,2017/12,83113029,-6291307,-5421114
(주)강원에너지,114190,2018/12,85905365,1977524,532248
(주)강원에너지,114190,2019/12,42549622,-33460765,-17150531
(주)강원에너지,114190,2020/12,38345166,-14039206,-8978062
(주)갤럭시아에스엠,011420,2011/12,31931418,3000743,5151679
(주)갤럭시아에스엠,011420,2012/12,37398255,223810,1598883
(주)갤럭시아에스엠,011420,2013/12,30903637,-1420345,652285
(주)갤럭시아에스엠,011420,2014/12,33027933,-931106,-512149
(주)갤럭시아에스엠,011420,2015/12,53784932,2575902,2581511
(주)갤럭시아에스엠,011420,2016/12,45665676,-1562620,-3225040
(주)갤럭시아에스엠,011420,2017/12,36917656,-5899738,-3330404
(주)갤럭시아에스엠,011420,2018/12,22030258,-15678085,-6687587
(주)갤럭시아에스엠,011420,2019/12,28732679,-1375316,-776659
(주)갤럭시아에스엠,011420,2020/12,19539594,983909,1375120
(주)경농,002100,2011/12,120728258,3154155,8213288
(주)경농,002100,2012/12,131021366,6590012,13993847
(주)경농,002100,2013/12,139237273,13751960,16404459
(주)경농,002100,2014/12,134806677,9271741,14039409
(주)경농,002100,2015/12,137609256,6488880,9122621
(주)경농,002100,2016/12,143209666,5770891,7226128
(주)경농,002100,2017/12,143175105,11539079,9079453
(주)경농,002100,2018/12,146216658,9613575,15180272
(주)경농,002100,2019/12,151342037,7061857,11750268
(주)경농,002100,2020/12,165655312,10459504,11856809
(주)경동나비엔,009450,2011/12,318269213,9445090,12583280
(주)경동나비엔,009450,2012/12,341339118,9214927,11593426
(주)경동나비엔,009450,2013/12,371601179,9251575,14798703
(주)경동나비엔,009450,2014/12,382392117,9082312,16079662
(주)경동나비엔,009450,2015/12,448302084,19320742,20800513
(주)경동나비엔,009450,2016/12,506082201,28636194,36574176
(주)경동나비엔,009450,2017/12,569819524,16291264,32019764
(주)경동나비엔,009450,2018/12,618058456,22818064,29337538
(주)경동나비엔,009450,2019/12,655419303,20474157,39202886
(주)경동나비엔,009450,2020/12,746324940,18888348,45462923
(주)경동도시가스,267290,2017/12,870828897,17678888,21529500
(주)경동도시가스,267290,2018/12,1605687067,33981432,43022492
(주)경동도시가스,267290,2019/12,1421866212,24355132,27681162
(주)경동도시가스,267290,2020/12,1086023402,18813524,17853641
(주)경동인베스트,012320,2011/12,1806174764,50053289,55958306
(주)경동인베스트,012320,2012/12,2403814656,56917580,51501974
(주)경동인베스트,012320,2013/12,2664100017,46253877,46688406
(주)경동인베스트,012320,2014/12,2399450987,44839494,37837347
(주)경동인베스트,012320,2015/12,1352478311,-6095609,18397933
(주)경동인베스트,012320,2016/12,1021002691,16356641,23543293
(주)경동인베스트,012320,2017/12,612436,7248447,-2256859
(주)경동인베스트,012320,2018/12,7460898,1574966,-161816
(주)경동인베스트,012320,2019/12,8641051,-917643,-95605
(주)경동인베스트,012320,2020/12,7700621,1309750,467407
(주)경방,000050,2011/12,275746943,-1822388,21404671
(주)경방,000050,2012/12,265409209,-7074187,8240616
(주)경방,000050,2013/12,264782077,15103835,35902115
(주)경방,000050,2014/12,256979444,14235818,32095524
(주)경방,000050,2015/12,307744480,21604723,38629926
(주)경방,000050,2016/12,313876822,30977743,42576774
(주)경방,000050,2017/12,288103985,25679379,39411167
(주)경방,000050,2018/12,279085217,29198252,38971836
(주)경방,000050,2019/12,253552382,22223943,38966424
(주)경방,000050,2020/12,226061886,26011323,25369343
(주)경보제약,214390,2011/12,,,
(주)경보제약,214390,2012/12,,,
(주)경보제약,214390,2013/12,162218140,18024925,26213776
(주)경보제약,214390,2014/12,169781246,8635954,27668563
(주)경보제약,214390,2015/12,178032632,26109623,25632335
(주)경보제약,214390,2016/12,186726170,12705930,15594227
(주)경보제약,214390,2017/12,191661374,17963310,24586649
(주)경보제약,214390,2018/12,201343596,13116049,17266575
(주)경보제약,214390,2019/12,191706189,5285239,6194073
(주)경보제약,214390,2020/12,215285095,9404446,8661432
(주)경인양행,012610,2011/12,128707611,2788642,1876257
(주)경인양행,012610,2012/12,141304459,4475441,3006834
(주)경인양행,012610,2013/12,183106757,12327177,12078064
(주)경인양행,012610,2014/12,190395047,9090269,10970585
(주)경인양행,012610,2015/12,175006703,107330,74687
(주)경인양행,012610,2016/12,179267850,3724987,2198152
(주)경인양행,012610,2017/12,193975818,531273,159204
(주)경인양행,012610,2018/12,222659442,7419717,11975046
(주)경인양행,012610,2019/12,245244968,4797711,14176378
(주)경인양행,012610,2020/12,214380449,-10222700,-5436685
(주)고려시멘트,198440,2014/12,,,
(주)고려시멘트,198440,2015/12,,,
(주)고려시멘트,198440,2016/12,,,
(주)고려시멘트,198440,2017/12,87660276,1003761,3017621
(주)고려시멘트,198440,2018/12,85775723,4645869,3837563
(주)고려시멘트,198440,2019/12,70921781,3396444,-459627
(주)고려시멘트,198440,2020/12,70182711,4445204,4280746
(주)고바이오랩,348150,2019/12,576519,-44214672,-5734638
(주)고바이오랩,348150,2020/12,4591485,-56315205,-10213856
(주)고영테크놀러지,098460,2011/12,80200892,16580579,19597519
(주)고영테크놀러지,098460,2012/12,100791139,14836215,20358471
(주)고영테크놀러지,098460,2013/12,103933681,14816762,17778872
(주)고영테크놀러지,098460,2014/12,135531589,22775832,27729256
(주)고영테크놀러지,098460,2015/12,138554625,23271756,26172507
(주)고영테크놀러지,098460,2016/12,153254768,28063238,31039820
(주)고영테크놀러지,098460,2017/12,188934907,28907302,45513084
(주)고영테크놀러지,098460,2018/12,219818022,42430216,46196834
(주)고영테크놀러지,098460,2019/12,209480760,34702997,40057965
(주)고영테크놀러지,098460,2020/12,157077647,7447169,13572990
(주)골드앤에스,035290,2011/12,47522791,1101095,1392408
(주)골드앤에스,035290,2012/12,43889087,-6036290,-2363142
(주)골드앤에스,035290,2013/12,36607591,-16378087,-4982102
(주)골드앤에스,035290,2014/12,29428881,-8058617,-2318778
(주)골드앤에스,035290,2015/12,22197935,-9396462,1062021
(주)골드앤에스,035290,2016/12,15893494,388207,389642
(주)골드앤에스,035290,2017/12,12802035,-8062623,-3690116
(주)골드앤에스,035290,2018/12,8680452,-4045846,-4559128
(주)골드앤에스,035290,2019/12,7642733,-24883215,-7142117
(주)골드앤에스,035290,2020/12,4138760,1635730,-2343112
(주)골드퍼시픽,038530,2011/12,11236925,990336,1726132
(주)골드퍼시픽,038530,2012/12,10491048,254546,726901
(주)골드퍼시픽,038530,2013/12,6488691,-8455942,-5584540
(주)골드퍼시픽,038530,2014/12,4855121,-7306525,-5975389
(주)골드퍼시픽,038530,2015/12,6121489,-12525668,-8197750
(주)골드퍼시픽,038530,2016/12,9588100,-23433498,-8525119
(주)골드퍼시픽,038530,2017/12,5031439,-965087,937598
(주)골드퍼시픽,038530,2018/12,5580994,-4380343,-506241
(주)골드퍼시픽,038530,2019/12,11323125,-31603970,-3421041
(주)골드퍼시픽,038530,2020/12,14335385,-1498118,684966
(주)골프존,215000,2015/12,184085342,33262807,47628136
(주)골프존,215000,2016/12,196864993,35913366,43961456
(주)골프존,215000,2017/12,171859065,75544308,33528808
(주)골프존,215000,2018/12,191571105,21663391,29085694
(주)골프존,215000,2019/12,239051647,19704546,36199059
(주)골프존,215000,2020/12,281031445,36329008,51582977
(주)골프존뉴딘홀딩스,121440,2011/12,209788389,47591974,54711939
(주)골프존뉴딘홀딩스,121440,2012/12,276341690,72099265,73882041
(주)골프존뉴딘홀딩스,121440,2013/12,340005073,4493226,84447683
(주)골프존뉴딘홀딩스,121440,2014/12,387066126,63571492,101367116
(주)골프존뉴딘홀딩스,121440,2015/12,29389093,890006593,-13803824
(주)골프존뉴딘홀딩스,121440,2016/12,27652102,-20255655,-5563087
(주)골프존뉴딘홀딩스,121440,2017/12,23499543,-21778628,-6824300
(주)골프존뉴딘홀딩스,121440,2018/12,16100354,-7653686,-11005550
(주)골프존뉴딘홀딩스,121440,2019/12,26897482,-30341791,-17956208
(주)골프존뉴딘홀딩스,121440,2020/12,57481004,27193646,36116411
(주)공구우먼,366030,2017/12,,,
(주)공구우먼,366030,2018/12,,,
(주)공구우먼,366030,2019/12,,,
(주)공구우먼,366030,2020/12,32683411,4345851,5379170
(주)광림,014200,2011/12,106495363,2583332,5263609
(주)광림,014200,2012/12,85322569,586385,1321582
(주)광림,014200,2013/12,103442134,1630750,3310917
(주)광림,014200,2014/12,92553612,1137559,1910652
(주)광림,014200,2015/12,237222890,9223597,1326666
(주)광림,014200,2016/12,87302967,437352,171774
(주)광림,014200,2017/12,99421336,86196134,2304157
(주)광림,014200,2018/12,75493055,-58294056,2202922
(주)광림,014200,2019/12,93241157,-68290742,3819332
(주)광림,014200,2020/12,104253227,-10061099,8224561
(주)광명전기,017040,2011/12,57967857,-75153,1483791
(주)광명전기,017040,2012/12,79318302,-1564026,3566142
(주)광명전기,017040,2013/12,90344376,5301060,8443372
(주)광명전기,017040,2014/12,115801471,6978508,10270079
(주)광명전기,017040,2015/12,93000177,3442541,3839499
(주)광명전기,017040,2016/12,96931493,15612709,3818917
(주)광명전기,017040,2017/12,105083042,-1349854,3754872
(주)광명전기,017040,2018/12,96949804,3182514,2970976
(주)광명전기,017040,2019/12,125009206,6470387,7313078
(주)광명전기,017040,2020/12,112536086,4892166,4730459
(주)광무,029480,2011/12,50359203,-51537196,-11400527
(주)광무,029480,2012/12,40406860,-15113066,-5614534
(주)광무,029480,2013/12,10105219,-33154332,-6899306
(주)광무,029480,2014/12,38409667,-859721,1422352
(주)광무,029480,2015/12,17648493,-2727754,-620363
(주)광무,029480,2016/12,26429957,95615,1294011
(주)광무,029480,2017/12,21540953,-3352682,199525
(주)광무,029480,2018/12,20707286,-4875184,-671966
(주)광무,029480,2019/12,25244176,-6275093,-2260048
(주)광무,029480,2020/12,25006895,-19141822,-3068879
(주)광주신세계,037710,2011/12,219613514,52281979,58896505
(주)광주신세계,037710,2012/12,213803173,53769536,58185712
(주)광주신세계,037710,2013/12,206606675,48569715,55981723
(주)광주신세계,037710,2014/12,204820461,42236355,51835640
(주)광주신세계,037710,2015/12,205331892,45901413,54772399
(주)광주신세계,037710,2016/12,210423594,45554028,56047368
(주)광주신세계,037710,2017/12,209647360,47846191,56289748
(주)광주신세계,037710,2018/12,135213362,45093180,50068808
(주)광주신세계,037710,2019/12,154879496,47668959,55102645
(주)광주신세계,037710,2020/12,147508454,43159504,48310490
(주)구영테크,053270,2011/12,62527619,985788,5189843
(주)구영테크,053270,2012/12,65451015,1250176,4839337
(주)구영테크,053270,2013/12,76282590,1137402,4463036
(주)구영테크,053270,2014/12,77799749,1326679,2782247
(주)구영테크,053270,2015/12,87109177,3196300,3529661
(주)구영테크,053270,2016/12,75320433,3920237,4114290
(주)구영테크,053270,2017/12,74298129,1239184,3025353
(주)구영테크,053270,2018/12,81928926,3912117,1638585
(주)구영테크,053270,2019/12,93132845,1558141,2513647
(주)구영테크,053270,2020/12,84841189,901721,2377110
(주)국동,005320,2011/12,100097439,-12930687,-5805369
(주)국동,005320,2012/12,91524436,262553,1814279
(주)국동,005320,2013/12,95716049,2373991,3421258
(주)국동,005320,2014/12,117861978,4692501,5708078
(주)국동,005320,2015/12,102431161,5321778,6875576
(주)국동,005320,2016/12,127275873,4379974,7880757
(주)국동,005320,2017/12,130016453,-6593433,-2404926
(주)국동,005320,2018/12,136811631,1351547,1682592
(주)국동,005320,2019/12,116180044,-6989987,-9536815
(주)국동,005320,2020/12,167078106,-891014,29930195
(주)국보,001140,2011/12,118304924,-176708,1856012
(주)국보,001140,2012/12,109183947,-1916073,1079411
(주)국보,001140,2013/12,108994114,-3766842,653034
(주)국보,001140,2014/12,89859741,-6633427,-1997880
(주)국보,001140,2015/12,85267457,-3679630,-2191281
(주)국보,001140,2016/12,77773715,-5034348,-507392
(주)국보,001140,2017/12,74662255,-2761653,-3408921
(주)국보,001140,2018/12,66929948,-4038217,-4639062
(주)국보,001140,2019/12,58296078,-9851123,-1521920
(주)국보,001140,2020/12,53288999,-10080819,-7534112
(주)국보디자인,066620,2011/12,123203000,6607794,8488848
(주)국보디자인,066620,2012/12,118458574,8631842,10775504
(주)국보디자인,066620,2013/12,153216189,9417821,10440161
(주)국보디자인,066620,2014/12,158268803,7901285,9850658
(주)국보디자인,066620,2015/12,157657615,6947669,6839950
(주)국보디자인,066620,2016/12,191620729,11905078,13350340
(주)국보디자인,066620,2017/12,262522024,14149734,23990595
(주)국보디자인,066620,2018/12,231093439,14098992,16747379
(주)국보디자인,066620,2019/12,237054909,9509021,10506065
(주)국보디자인,066620,2020/12,253810694,16487759,21477616
(주)국순당,043650,2011/12,124279594,5640710,5668811
(주)국순당,043650,2012/12,115146725,5122888,6794416
(주)국순당,043650,2013/12,96140591,2346882,1187809
(주)국순당,043650,2014/12,89173752,1997559,881757
(주)국순당,043650,2015/12,74955341,-4854598,-8305751
(주)국순당,043650,2016/12,68425801,-2212642,-5456865
(주)국순당,043650,2017/12,60087461,9847390,-3584872
(주)국순당,043650,2018/12,52679104,15171022,-2751939
(주)국순당,043650,2019/12,48045002,571892,-5440912
(주)국순당,043650,2020/12,50345658,15417535,5089339
(주)국영지앤엠,006050,2011/12,42569848,-1752706,-2947683
(주)국영지앤엠,006050,2012/12,43781593,4832440,-1490604
(주)국영지앤엠,006050,2013/12,55789778,953338,1332568
(주)국영지앤엠,006050,2014/12,51491847,395531,1587301
(주)국영지앤엠,006050,2015/12,40107647,-533927,-1039280
(주)국영지앤엠,006050,2016/12,51456556,385503,248835
(주)국영지앤엠,006050,2017/12,62861661,1431624,1410362
(주)국영지앤엠,006050,2018/12,56301480,-354808,-920018
(주)국영지앤엠,006050,2019/12,73013468,1089819,991045
(주)국영지앤엠,006050,2020/12,64386056,-1305459,-2061462
(주)국전약품,307750,2018/12,,,
(주)국전약품,307750,2019/12,,,
(주)국전약품,307750,2020/12,80623076,-3316511,5790480
(주)그래디언트,035080,2011/12,9501248,-4906079,-7828136
(주)그래디언트,035080,2012/12,11150621,15794035,-707626
(주)그래디언트,035080,2013/12,7939840,-9664900,309117
(주)그래디언트,035080,2014/12,7753595,625806,161037
(주)그래디언트,035080,2015/12,12870821,13112622,5841995
(주)그래디언트,035080,2016/12,16516754,-40598919,10733856
(주)그래디언트,035080,2017/12,12485184,-54754214,6033339
(주)그래디언트,035080,2018/12,12237889,4404863,5963182
(주)그래디언트,035080,2019/12,8719700,4125060,3788374
(주)그래디언트,035080,2020/12,169181557,806283,-1869302
(주)그리티,204020,2011/12,,,
(주)그리티,204020,2012/12,,,
(주)그리티,204020,2013/12,,,
(주)그리티,204020,2014/12,99246485,6540972,9788204
(주)그리티,204020,2015/12,101841658,5344949,6394201
(주)그리티,204020,2016/12,104971338,4857622,5805733
(주)그리티,204020,2017/12,124299600,7757477,9616462
(주)그리티,204020,2018/12,117056356,6019400,9289658
(주)그리티,204020,2019/12,120984485,2627015,4418702
(주)그리티,204020,2020/12,119857961,1540065,2591787
(주)그린플러스,186230,2011/12,,,
(주)그린플러스,186230,2012/12,,,
(주)그린플러스,186230,2013/12,,,
(주)그린플러스,186230,2014/12,,,
(주)그린플러스,186230,2015/12,,,
(주)그린플러스,186230,2016/12,,,
(주)그린플러스,186230,2017/12,,,
(주)그린플러스,186230,2018/12,42150610,2213241,4122481
(주)그린플러스,186230,2019/12,39502728,2435883,3430717
(주)그린플러스,186230,2020/12,55545281,-1930086,5419705
(주)극동자동화,272420,2014/12,,,
(주)극동자동화,272420,2015/12,,,
(주)극동자동화,272420,2016/12,,,
(주)극동자동화,272420,2017/12,,,
(주)글로벌스탠다드테크놀로지,083450,2011/12,40662578,2301945,2897104
(주)글로벌스탠다드테크놀로지,083450,2012/12,62774905,5403733,6164717
(주)글로벌스탠다드테크놀로지,083450,2013/12,78917554,5075966,6148795
(주)글로벌스탠다드테크놀로지,083450,2014/12,85992839,6151625,6371366
(주)글로벌스탠다드테크놀로지,083450,2015/12,80102292,3910170,3684905
(주)글로벌스탠다드테크놀로지,083450,2016/12,81859588,3758214,2388293
(주)글로벌스탠다드테크놀로지,083450,2017/12,154761834,13135277,19126708
(주)글로벌스탠다드테크놀로지,083450,2018/12,115619452,7747618,7914174
(주)글로벌스탠다드테크놀로지,083450,2019/12,150777009,17027156,22053993
(주)글로벌스탠다드테크놀로지,083450,2020/12,154150365,11351753,17111235
(주)금양,001570,2011/12,100918699,2436780,6136009
(주)금양,001570,2012/12,108275608,3159937,6409859
(주)금양,001570,2013/12,132045280,1518013,5188276
(주)금양,001570,2014/12,137946044,2861900,7001768
(주)금양,001570,2015/12,152450369,2338700,8205515
(주)금양,001570,2016/12,161001876,-23749351,8874219
(주)금양,001570,2017/12,150809075,366688,5934740
(주)금양,001570,2018/12,151676398,16116052,6516687
(주)금양,001570,2019/12,135915020,-12752836,5271746
(주)금양,001570,2020/12,120928396,-4095630,3963612
(주)금오하이텍,165270,2011/12,,,
(주)금오하이텍,165270,2012/12,,,
(주)금오하이텍,165270,2013/12,,,
(주)금오하이텍,165270,2014/12,,,
(주)금오하이텍,165270,2015/12,,,
(주)금오하이텍,165270,2016/12,,,
(주)금호에이치티,214330,2011/12,,,
(주)금호에이치티,214330,2012/12,,,
(주)금호에이치티,214330,2013/12,124006030,7163648,10458306
(주)금호에이치티,214330,2014/12,175222428,13520259,16251373
(주)금호에이치티,214330,2015/12,181779820,16768247,20514465
(주)금호에이치티,214330,2016/12,189733826,12887704,16480586
(주)금호에이치티,214330,2017/12,165485490,5433832,11007981
(주)금호에이치티,214330,2018/12,189250383,7102658,7513991
(주)금호에이치티,214330,2019/12,221734443,1794762,4530371
(주)금호에이치티,214330,2020/12,181173914,-10619831,-4472261
(주)금화피에스시,036190,2011/12,82738193,15182500,16448550
(주)금화피에스시,036190,2012/12,108224285,18485546,20453131
(주)금화피에스시,036190,2013/12,156630832,21184156,25744446
(주)금화피에스시,036190,2014/12,166948026,20636145,23011531
(주)금화피에스시,036190,2015/12,196919865,21704964,26233196
(주)금화피에스시,036190,2016/12,201547339,22053825,28240507
(주)금화피에스시,036190,2017/12,174993150,20754033,33131391
(주)금화피에스시,036190,2018/12,202098199,38175421,39495034
(주)금화피에스시,036190,2019/12,179177462,25283209,30433094
(주)금화피에스시,036190,2020/12,205790146,21657835,24209918
(주)기가레인,049080,2013/12,94055571,11073413,12814521
(주)기가레인,049080,2014/12,95460665,9064933,10512950
(주)기가레인,049080,2015/12,61254807,-14035109,-18745702
(주)기가레인,049080,2016/12,70397030,-10793714,-9647595
(주)기가레인,049080,2017/12,89874499,-401780,4705145
(주)기가레인,049080,2018/12,114668638,-23731827,-1892191
(주)기가레인,049080,2019/12,63361399,-44243046,-26726549
(주)기가레인,049080,2020/12,37870890,-25137989,-13301307
(주)기산텔레콤,035460,2011/12,36332290,-8844829,-7302126
(주)기산텔레콤,035460,2012/12,49240507,1433180,3866590
