회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결),당기순이익(손실)(IFRS연결)
(주)TCC스틸,002710,2016/12,444453635,15351135,16948843
(주)TCC스틸,002710,2017/12,391370092,8106455,1503708
(주)TCC스틸,002710,2018/12,413176279,17080602,9755131
(주)TCC스틸,002710,2019/12,437173902,12856170,5037267
(주)TCC스틸,002710,2020/12,431797912,970928,-1687460
(주)가비아,079940,2011/12,52838864,8180883,7014899
(주)가비아,079940,2012/12,69058144,7619962,9419144
(주)가비아,079940,2013/12,70675565,7033504,9505713
(주)가비아,079940,2014/12,80432047,8382688,6752737
(주)가비아,079940,2015/12,91648622,11349094,8530281
(주)가비아,079940,2016/12,102178978,12549259,10177685
(주)가비아,079940,2017/12,116217941,12712157,9669613
(주)가비아,079940,2018/12,128728438,18188449,15340647
(주)가비아,079940,2019/12,148306878,23736596,21102390
(주)가비아,079940,2020/12,169044955,28545232,23751739
(주)가온칩스,399720,2018/12,,,
(주)가온칩스,399720,2019/12,,,
(주)가온칩스,399720,2020/12,,,
(주)강스템바이오텍,217730,2013/12,,,
(주)강스템바이오텍,217730,2014/12,,,
(주)강스템바이오텍,217730,2015/12,,,
(주)강스템바이오텍,217730,2016/12,,,
(주)강스템바이오텍,217730,2017/12,9132939,-11737865,-11531949
(주)강스템바이오텍,217730,2018/12,9165454,-11693969,-14294032
(주)강스템바이오텍,217730,2019/12,6004584,-23153708,-26394472
(주)강스템바이오텍,217730,2020/12,9137898,-18725365,-19745799
(주)강원랜드,035250,2011/12,1265686425,488541474,381175313
(주)강원랜드,035250,2012/12,1296191223,404867665,306228988
(주)강원랜드,035250,2013/12,1361286598,388041305,297596347
(주)강원랜드,035250,2014/12,1496541441,513172053,359348568
(주)강원랜드,035250,2015/12,1633716839,595400402,441629101
(주)강원랜드,035250,2016/12,1696532511,618616288,454533659
(주)강원랜드,035250,2017/12,1604470055,530897334,437540507
(주)강원랜드,035250,2018/12,1438059299,430699991,297236881
(주)강원랜드,035250,2019/12,1520080449,501153152,334653892
(주)강원랜드,035250,2020/12,478578866,-431583874,-275879104
(주)강원에너지,114190,2011/11,,,
(주)강원에너지,114190,2012/12,,,
(주)강원에너지,114190,2013/12,,,
(주)강원에너지,114190,2014/12,,,
(주)강원에너지,114190,2015/12,46188664,447206,102482
(주)강원에너지,114190,2016/12,42287473,-1311190,-1125371
(주)강원에너지,114190,2017/12,82034829,-5588512,-6451819
(주)강원에너지,114190,2018/12,85905365,341329,1708887
(주)강원에너지,114190,2019/12,42549622,-17175963,-35647438
(주)강원에너지,114190,2020/12,38345166,-9226308,-12874763
(주)갤럭시아에스엠,011420,2011/12,47331427,5164839,2909464
(주)갤럭시아에스엠,011420,2012/12,55049732,2074371,389023
(주)갤럭시아에스엠,011420,2013/12,46437304,747160,-1736750
(주)갤럭시아에스엠,011420,2014/12,43885894,-423280,-255270
(주)갤럭시아에스엠,011420,2015/12,62472754,2101041,1863773
(주)갤럭시아에스엠,011420,2016/12,52626331,-3713866,-1562620
(주)갤럭시아에스엠,011420,2017/12,37281280,-3545768,-5899738
(주)갤럭시아에스엠,011420,2018/12,22060413,-10337846,-16003255
(주)갤럭시아에스엠,011420,2019/12,28732679,-456437,-1375316
(주)갤럭시아에스엠,011420,2020/12,,,
(주)경농,002100,2011/12,121253605,7676752,509664
(주)경농,002100,2012/12,136970449,12731056,10310339
(주)경농,002100,2013/12,196358952,18783505,13950249
(주)경농,002100,2014/12,188483147,14653846,7099305
(주)경농,002100,2015/12,196418710,12111543,6980392
(주)경농,002100,2016/12,203984939,9168484,6365805
(주)경농,002100,2017/12,206534382,8447803,10079442
(주)경농,002100,2018/12,212654617,14769793,4878426
(주)경농,002100,2019/12,227510941,8690743,4014664
(주)경농,002100,2020/12,248295524,14281977,13294936
(주)경동나비엔,009450,2011/12,341246917,12421333,9467023
(주)경동나비엔,009450,2012/12,379014259,13925116,9169965
(주)경동나비엔,009450,2013/12,414177562,19784395,11129597
(주)경동나비엔,009450,2014/12,428985365,13464776,9380054
(주)경동나비엔,009450,2015/12,512031120,24222981,16752000
(주)경동나비엔,009450,2016/12,583252904,45831937,37469924
(주)경동나비엔,009450,2017/12,684660958,47757034,27019124
(주)경동나비엔,009450,2018/12,726741615,40802217,24748538
(주)경동나비엔,009450,2019/12,774290704,44824995,27852090
(주)경동나비엔,009450,2020/12,873409019,67099323,41637325
(주)경동도시가스,267290,2017/12,871548284,21664503,17798556
(주)경동도시가스,267290,2018/12,1606531867,42657143,34164798
(주)경동도시가스,267290,2019/12,1422707835,28055130,24638348
(주)경동도시가스,267290,2020/12,1086830628,18135395,19017069
(주)경동인베스트,012320,2011/12,1847666903,35856991,30327559
(주)경동인베스트,012320,2012/12,2502642394,49896945,42879202
(주)경동인베스트,012320,2013/12,2788264380,50540286,49841905
(주)경동인베스트,012320,2014/12,2603059058,47933045,75930406
(주)경동인베스트,012320,2015/12,1604168482,-13298185,-21251390
(주)경동인베스트,012320,2016/12,1181902637,28667528,19132415
(주)경동인베스트,012320,2017/12,195069859,36380462,51930860
(주)경동인베스트,012320,2018/12,228644016,39212613,29827973
(주)경동인베스트,012320,2019/12,271765025,21959506,8856009
(주)경동인베스트,012320,2020/12,310532988,19465612,16483709
(주)경방,000050,2011/12,348136369,22188217,-1131177
(주)경방,000050,2012/12,333620804,7253943,-7910168
(주)경방,000050,2013/12,347189559,36031739,14574395
(주)경방,000050,2014/12,329036023,30618157,11488471
(주)경방,000050,2015/12,357628146,38961511,16692163
(주)경방,000050,2016/12,377445013,43436569,29474988
(주)경방,000050,2017/12,360788750,42309232,25315361
(주)경방,000050,2018/12,351438926,40979751,20189241
(주)경방,000050,2019/12,343892085,32020530,43621631
(주)경방,000050,2020/12,329224741,21853997,13025703
(주)경보제약,214390,2011/12,,,
(주)경보제약,214390,2012/12,,,
(주)경보제약,214390,2013/12,,,
(주)경보제약,214390,2014/12,,,
(주)경보제약,214390,2015/12,,,
(주)경보제약,214390,2016/12,,,
(주)경보제약,214390,2017/12,,,
(주)경보제약,214390,2018/12,,,
(주)경보제약,214390,2019/12,,,
(주)경보제약,214390,2020/12,,,
(주)경인양행,012610,2011/12,233095049,6353143,2886360
(주)경인양행,012610,2012/12,218604655,3641265,2093491
(주)경인양행,012610,2013/12,260808400,11145943,10215710
(주)경인양행,012610,2014/12,277181095,14093166,10148247
(주)경인양행,012610,2015/12,263163677,6718134,3670895
(주)경인양행,012610,2016/12,274873817,10577181,6837522
(주)경인양행,012610,2017/12,299987729,7364797,4779249
(주)경인양행,012610,2018/12,331102011,19691167,13801882
(주)경인양행,012610,2019/12,358802386,23555055,16372880
(주)경인양행,012610,2020/12,329312078,3369847,-7581553
(주)고려시멘트,198440,2014/12,,,
(주)고려시멘트,198440,2015/12,,,
(주)고려시멘트,198440,2016/12,,,
(주)고려시멘트,198440,2017/12,,,
(주)고려시멘트,198440,2018/12,,,
(주)고려시멘트,198440,2019/12,,,
(주)고려시멘트,198440,2020/12,,,
(주)고바이오랩,348150,2019/12,576519,-7351899,-44066665
(주)고바이오랩,348150,2020/12,4591485,-12344974,-55072387
(주)고영테크놀러지,098460,2011/12,86130810,18820907,15634438
(주)고영테크놀러지,098460,2012/12,107841666,21443286,15221925
(주)고영테크놀러지,098460,2013/12,111902729,16773438,13933294
(주)고영테크놀러지,098460,2014/12,142840131,28155311,22111066
(주)고영테크놀러지,098460,2015/12,145904431,23449593,23530903
(주)고영테크놀러지,098460,2016/12,171793841,33184488,29723733
(주)고영테크놀러지,098460,2017/12,203368626,43748905,26734105
(주)고영테크놀러지,098460,2018/12,238208865,45983316,42309672
(주)고영테크놀러지,098460,2019/12,222057035,33331312,29559680
(주)고영테크놀러지,098460,2020/12,179545134,15842903,9161038
(주)골드앤에스,035290,2011/12,47522791,1295340,1002287
(주)골드앤에스,035290,2012/12,43889087,-2330876,-6467495
(주)골드앤에스,035290,2013/12,39548810,-6493110,-16837473
(주)골드앤에스,035290,2014/12,31287203,-3079598,-9319175
(주)골드앤에스,035290,2015/12,22197935,1143768,-9502547
(주)골드앤에스,035290,2016/12,15893494,402070,390367
(주)골드앤에스,035290,2017/12,12802035,-3694041,-7975875
(주)골드앤에스,035290,2018/12,8680452,-4667030,-4380399
(주)골드앤에스,035290,2019/12,7642733,-7142117,-24883278
(주)골드앤에스,035290,2020/12,4138760,-2343112,1635730
(주)골드퍼시픽,038530,2011/12,,,
(주)골드퍼시픽,038530,2012/12,,,
(주)골드퍼시픽,038530,2013/12,7167832,-6137582,-9381353
(주)골드퍼시픽,038530,2014/12,16486257,-5819314,-7390326
(주)골드퍼시픽,038530,2015/12,18635305,-8243124,-10215946
(주)골드퍼시픽,038530,2016/12,,,
(주)골드퍼시픽,038530,2017/12,,,
(주)골드퍼시픽,038530,2018/12,5708281,-904003,-4471963
(주)골드퍼시픽,038530,2019/12,,,
(주)골드퍼시픽,038530,2020/12,,,
(주)골프존,215000,2015/12,201560389,49582444,36533155
(주)골프존,215000,2016/12,216964342,45442469,36536248
(주)골프존,215000,2017/12,200105321,37457577,79392004
(주)골프존,215000,2018/12,198705194,28160266,20419449
(주)골프존,215000,2019/12,247018099,32297494,16213888
(주)골프존,215000,2020/12,298524085,51572914,37497361
(주)골프존뉴딘홀딩스,121440,2011/12,215793737,54442032,46487063
(주)골프존뉴딘홀딩스,121440,2012/12,289629366,69002648,73354594
(주)골프존뉴딘홀딩스,121440,2013/12,365126358,80489158,2803470
(주)골프존뉴딘홀딩스,121440,2014/12,429589619,102393717,79234486
(주)골프존뉴딘홀딩스,121440,2015/12,164536448,-9349582,871101274
(주)골프존뉴딘홀딩스,121440,2016/12,243275475,37005985,2876449
(주)골프존뉴딘홀딩스,121440,2017/12,213756902,18422625,-21585123
(주)골프존뉴딘홀딩스,121440,2018/12,223036801,1114231,-7527390
(주)골프존뉴딘홀딩스,121440,2019/12,228935651,-3625436,-34848135
(주)골프존뉴딘홀딩스,121440,2020/12,292025578,29999994,28481672
(주)공구우먼,366030,2017/12,,,
(주)공구우먼,366030,2018/12,,,
(주)공구우먼,366030,2019/12,,,
(주)공구우먼,366030,2020/12,,,
(주)광림,014200,2011/12,,,
(주)광림,014200,2012/12,,,
(주)광림,014200,2013/12,,,
(주)광림,014200,2014/12,231446314,2185491,-237860
(주)광림,014200,2015/12,,,
(주)광림,014200,2016/12,87302967,171774,-1896521
(주)광림,014200,2017/12,135191558,-12369550,-23602051
(주)광림,014200,2018/12,136595300,-1044494,-28445678
(주)광림,014200,2019/12,145864184,-10983157,-14006972
(주)광림,014200,2020/12,161220310,8844914,-23823893
(주)광명전기,017040,2011/12,92382628,496117,-1825104
(주)광명전기,017040,2012/12,117216514,4187750,407617
(주)광명전기,017040,2013/12,117852824,10781483,6473480
(주)광명전기,017040,2014/12,134778387,12461662,9107331
(주)광명전기,017040,2015/12,116316957,9342095,8891002
(주)광명전기,017040,2016/12,96942911,3616733,11593891
(주)광명전기,017040,2017/12,101561159,2197753,-2043260
(주)광명전기,017040,2018/12,114110654,3257516,2718092
(주)광명전기,017040,2019/12,131864294,7985837,7118200
(주)광명전기,017040,2020/12,123548325,4237433,4529827
(주)광무,029480,2011/12,51755052,-13535610,-50127229
(주)광무,029480,2012/12,41178683,-5776949,-10689029
(주)광무,029480,2013/12,20534276,-13904969,-28721377
(주)광무,029480,2014/12,,,
(주)광무,029480,2015/12,,,
(주)광무,029480,2016/12,,,
(주)광무,029480,2017/12,,,
(주)광무,029480,2018/12,23074941,-1335245,-5120760
(주)광무,029480,2019/12,36483979,-3012624,-6421201
(주)광무,029480,2020/12,25175823,-3573279,-19325974
(주)광주신세계,037710,2011/12,,,
(주)광주신세계,037710,2012/12,,,
(주)광주신세계,037710,2013/12,,,
(주)광주신세계,037710,2014/12,,,
(주)광주신세계,037710,2015/12,,,
(주)광주신세계,037710,2016/12,,,
(주)광주신세계,037710,2017/12,,,
(주)광주신세계,037710,2018/12,,,
(주)광주신세계,037710,2019/12,,,
(주)광주신세계,037710,2020/12,,,
(주)구영테크,053270,2011/12,147832315,5159050,-647883
(주)구영테크,053270,2012/12,155788988,7488049,1633009
(주)구영테크,053270,2013/12,172747316,7492265,2179847
(주)구영테크,053270,2014/12,170528694,5438229,2236588
(주)구영테크,053270,2015/12,172083049,6145428,4158785
(주)구영테크,053270,2016/12,148301597,4337719,2542450
(주)구영테크,053270,2017/12,149833357,5691336,1357296
(주)구영테크,053270,2018/12,195238339,5378869,5920905
(주)구영테크,053270,2019/12,230853336,5239175,3387486
(주)구영테크,053270,2020/12,196660508,2938642,727487
(주)국동,005320,2011/12,154293577,1137580,-7212195
(주)국동,005320,2012/12,138172746,6792926,5142066
(주)국동,005320,2013/12,147860227,5522012,4009323
(주)국동,005320,2014/12,186086561,10149086,8898694
(주)국동,005320,2015/12,170296068,8655834,5235608
(주)국동,005320,2016/12,197368723,10563534,6208749
(주)국동,005320,2017/12,191602989,-5856432,-8967738
(주)국동,005320,2018/12,219550054,5762204,2111761
(주)국동,005320,2019/12,223077183,-4249136,-4523376
(주)국동,005320,2020/12,253421044,26588643,10672756
(주)국보,001140,2011/12,130636214,1737608,-37903
(주)국보,001140,2012/12,122343037,1365801,-874559
(주)국보,001140,2013/12,117073443,731017,-3846673
(주)국보,001140,2014/12,97520169,-2409123,-6999514
(주)국보,001140,2015/12,91618545,-2462368,-4043773
(주)국보,001140,2016/12,87333326,204105,-4187272
(주)국보,001140,2017/12,78255522,-3934059,-2889794
(주)국보,001140,2018/12,71549828,-5293766,-3999572
(주)국보,001140,2019/12,89087334,-968491,-6676274
(주)국보,001140,2020/12,109928741,-10803222,-20527205
(주)국보디자인,066620,2011/12,130689686,8573206,6055732
(주)국보디자인,066620,2012/12,119402993,10501258,8281324
(주)국보디자인,066620,2013/12,163518536,11767773,10935895
(주)국보디자인,066620,2014/12,176373907,13346472,10942079
(주)국보디자인,066620,2015/12,192608497,12789435,10768050
(주)국보디자인,066620,2016/12,201410031,10516456,10738135
(주)국보디자인,066620,2017/12,270658405,23215727,13340935
(주)국보디자인,066620,2018/12,254259835,16463397,13872876
(주)국보디자인,066620,2019/12,269005976,11557298,15942956
(주)국보디자인,066620,2020/12,288138989,25743067,20099538
(주)국순당,043650,2011/12,127686247,5344491,5264054
(주)국순당,043650,2012/12,118697826,5650758,6185532
(주)국순당,043650,2013/12,99173525,1441447,5742772
(주)국순당,043650,2014/12,91863604,1082245,3463226
(주)국순당,043650,2015/12,77443124,-8197632,-3529405
(주)국순당,043650,2016/12,69701266,-6487771,-2760688
(주)국순당,043650,2017/12,62761236,-4263332,9687855
(주)국순당,043650,2018/12,61496072,-2994444,-2977369
(주)국순당,043650,2019/12,102095769,-5966921,-8269903
(주)국순당,043650,2020/12,52947425,4581979,18661685
(주)국영지앤엠,006050,2011/12,,,
(주)국영지앤엠,006050,2012/12,,,
(주)국영지앤엠,006050,2013/12,,,
(주)국영지앤엠,006050,2014/12,,,
(주)국영지앤엠,006050,2015/12,,,
(주)국영지앤엠,006050,2016/12,,,
(주)국영지앤엠,006050,2017/12,,,
(주)국영지앤엠,006050,2018/12,,,
(주)국영지앤엠,006050,2019/12,,,
(주)국영지앤엠,006050,2020/12,,,
(주)국전약품,307750,2018/12,,,
(주)국전약품,307750,2019/12,,,
(주)국전약품,307750,2020/12,,,
(주)그래디언트,035080,2011/12,428571939,-17906695,-12292479
(주)그래디언트,035080,2012/12,454225001,14020875,12756395
(주)그래디언트,035080,2013/12,2930521926,47742962,23780984
(주)그래디언트,035080,2014/12,3135027346,51009616,31456346
(주)그래디언트,035080,2015/12,3536848758,65149099,42995247
(주)그래디언트,035080,2016/12,3845761388,49505493,-39011241
(주)그래디언트,035080,2017/12,3541486629,29816493,-63634928
(주)그래디언트,035080,2018/12,3440906300,19963614,-4194664
(주)그래디언트,035080,2019/12,3412333826,45164129,6507368
(주)그래디언트,035080,2020/12,3169208084,-11151028,-25807835
(주)그리티,204020,2011/12,,,
(주)그리티,204020,2012/12,,,
(주)그리티,204020,2013/12,,,
(주)그리티,204020,2014/12,99923756,10909472,7132762
(주)그리티,204020,2015/12,102486038,7184142,5888698
(주)그리티,204020,2016/12,105600459,4664730,3293317
(주)그리티,204020,2017/12,125799821,10144193,7716468
(주)그리티,204020,2018/12,119259702,8045203,4810592
(주)그리티,204020,2019/12,123079831,2913982,1563323
(주)그리티,204020,2020/12,123462306,2147779,836636
(주)그린플러스,186230,2011/12,,,
(주)그린플러스,186230,2012/12,,,
(주)그린플러스,186230,2013/12,,,
(주)그린플러스,186230,2014/12,,,
(주)그린플러스,186230,2015/12,,,
(주)그린플러스,186230,2016/12,,,
(주)그린플러스,186230,2017/12,,,
(주)그린플러스,186230,2018/12,46357455,5106600,2269801
(주)그린플러스,186230,2019/12,48831866,5077238,2533086
(주)그린플러스,186230,2020/12,62676119,5935588,-2138595
(주)극동자동화,272420,2014/12,,,
(주)극동자동화,272420,2015/12,,,
(주)극동자동화,272420,2016/12,,,
(주)극동자동화,272420,2017/12,,,
(주)글로벌스탠다드테크놀로지,083450,2011/12,41504144,4242807,3521902
(주)글로벌스탠다드테크놀로지,083450,2012/12,64812103,8120683,7003711
(주)글로벌스탠다드테크놀로지,083450,2013/12,80982977,7530078,5925826
(주)글로벌스탠다드테크놀로지,083450,2014/12,89122994,8599178,7880919
(주)글로벌스탠다드테크놀로지,083450,2015/12,84422579,6011588,5703892
(주)글로벌스탠다드테크놀로지,083450,2016/12,90819412,4877910,4644376
(주)글로벌스탠다드테크놀로지,083450,2017/12,162835484,22260787,15756344
(주)글로벌스탠다드테크놀로지,083450,2018/12,129850197,10405764,10303468
(주)글로벌스탠다드테크놀로지,083450,2019/12,168231754,21908352,17968416
(주)글로벌스탠다드테크놀로지,083450,2020/12,166880498,18150174,15490969
(주)금양,001570,2011/12,109810009,6952664,2964115
(주)금양,001570,2012/12,122905331,6614054,3717420
(주)금양,001570,2013/12,156304448,5644293,719232
(주)금양,001570,2014/12,158550531,5163631,-111826
(주)금양,001570,2015/12,158999533,6855670,14474633
(주)금양,001570,2016/12,168681746,12127454,-20526295
(주)금양,001570,2017/12,180373683,13140970,18645438
(주)금양,001570,2018/12,205441375,13526326,20253300
(주)금양,001570,2019/12,172723864,9211215,-10903987
(주)금양,001570,2020/12,176169811,6006943,-3962270
(주)금오하이텍,165270,2011/12,,,
(주)금오하이텍,165270,2012/12,,,
(주)금오하이텍,165270,2013/12,,,
(주)금오하이텍,165270,2014/12,,,
(주)금오하이텍,165270,2015/12,,,
(주)금오하이텍,165270,2016/12,,,
(주)금호에이치티,214330,2011/12,,,
(주)금호에이치티,214330,2012/12,,,
(주)금호에이치티,214330,2013/12,124006030,10456454,7171940
(주)금호에이치티,214330,2014/12,179174058,16325134,13452116
(주)금호에이치티,214330,2015/12,203071984,20339189,14971109
(주)금호에이치티,214330,2016/12,208574892,14295443,8354070
(주)금호에이치티,214330,2017/12,179707629,8924225,4933421
(주)금호에이치티,214330,2018/12,209260006,10493446,7792877
(주)금호에이치티,214330,2019/12,251095062,4059148,-75223
(주)금호에이치티,214330,2020/12,219632557,-4710924,-9813211
(주)금화피에스시,036190,2011/12,,,
(주)금화피에스시,036190,2012/12,,,
(주)금화피에스시,036190,2013/12,166122419,27103680,22786047
(주)금화피에스시,036190,2014/12,189631759,23448696,21397903
(주)금화피에스시,036190,2015/12,235969690,27682715,22676558
(주)금화피에스시,036190,2016/12,235018376,29816098,23917682
(주)금화피에스시,036190,2017/12,205781841,33863833,20153925
(주)금화피에스시,036190,2018/12,233326733,41384787,39649709
(주)금화피에스시,036190,2019/12,209435314,34327291,27677441
(주)금화피에스시,036190,2020/12,235335656,26993690,29941078
(주)기가레인,049080,2013/12,94791934,12948738,10828194
(주)기가레인,049080,2014/12,95718992,9101817,7764423
(주)기가레인,049080,2015/12,61576391,-18852731,-13369109
(주)기가레인,049080,2016/12,75445071,-9108288,-10347329
(주)기가레인,049080,2017/12,100131227,5232144,-920801
(주)기가레인,049080,2018/12,124772205,-2497484,-21635992
(주)기가레인,049080,2019/12,72769411,-29598747,-46059977
(주)기가레인,049080,2020/12,44278598,-14446302,-25803274
(주)기산텔레콤,035460,2011/12,65679195,-10359858,-12092371
(주)기산텔레콤,035460,2012/12,74315907,1714513,-1882261
(주)기산텔레콤,035460,2013/12,79463728,5120351,3928729
(주)기산텔레콤,035460,2014/12,74512326,1747320,2744606
(주)기산텔레콤,035460,2015/12,79710503,1595421,1701580
(주)기산텔레콤,035460,2016/12,59172319,-2914471,-2639743
(주)기산텔레콤,035460,2017/12,63467585,-3230591,-5538516
(주)기산텔레콤,035460,2018/12,56445716,-2927420,-3327575
(주)기산텔레콤,035460,2019/12,67054955,3995820,3498486
(주)기산텔레콤,035460,2020/12,68812450,423128,337553
(주)까뮤이앤씨,013700,2011/12,,,
(주)까뮤이앤씨,013700,2012/12,,,
(주)까뮤이앤씨,013700,2013/12,,,
(주)까뮤이앤씨,013700,2014/12,,,
(주)까뮤이앤씨,013700,2015/12,,,
(주)까뮤이앤씨,013700,2016/12,,,
(주)까뮤이앤씨,013700,2017/12,,,
(주)까뮤이앤씨,013700,2018/12,,,
(주)까뮤이앤씨,013700,2019/12,,,
(주)까뮤이앤씨,013700,2020/12,,,
(주)까스텔바작,308100,2016/12,33625854,5129079,-1636973
(주)까스텔바작,308100,2017/12,84152107,12020807,6356092
